project,actual,predicted
johnnyhuy/actions-discord-git-webhook,"Reporting,Chat","Chat,Monitoring"
octodemo/pr-gatekeeper,"Code review,Project management","Code review,Project management"
actions/setup-python,Utilities,"Dependency management,Continuous integration"
cytopia/shell-command-retry-action,"Community,Continuous integration","Continuous integration,Utilities"
ScottBrenner/generate-changelog-action,"Publishing,Utilities","Publishing,Utilities"
mindsers/changelog-reader-action,"Publishing,Open Source management","Publishing,Continuous integration"
bodinsamuel/renovate-automatic-branch,"Dependency management,Container CI","Utilities,Project management"
jaumann/github-bumpversion-action,"Continuous integration,Utilities","Publishing,Continuous integration"
gitopia/gitopia-mirror-action,"Open Source management,Utilities","Code quality,Code review"
Azure/docker-login,"Continuous integration,Container CI","Container CI,Deployment"
davidB/rust-cargo-make,"Continuous integration,Deployment","Dependency management,Open Source management"
gr2m/create-or-update-pull-request-action,Utilities,"Utilities,Project management"
LASER-Yi/workflow-status,"Dependency management,Monitoring","Utilities,Monitoring"
allenevans/set-env,Utilities,"Continuous integration,Utilities"
AkhileshNS/heroku-deploy,"Publishing,Deployment","Deployment,Publishing"
JonasAlfredsson/docker-on-tmpfs,"Continuous integration,Utilities","Continuous integration,Dependency management"
HarshCasper/validate-issues-over-pull-requests,"Community,Open Source management","Utilities,Open Source management"
innovationnorway/setup-vault,"Security,Deployment","Continuous integration,Security"
vsoch/pull-request-action,"Publishing,Deployment","Project management,Utilities"
peter-evans/create-or-update-project-card,"Open Source management,Utilities","Utilities,Project management"
ReactiveCircus/android-emulator-runner,"Testing,Mobile CI","Continuous integration,Testing"
limitusus/json-syntax-check,"Testing,Code review","Code quality,Code review"
oxsecurity/megalinter,"Code quality,Continuous integration","Code quality,Code review"
Namchee/conventional-pr,"Project management,Open Source management","Utilities,Testing"
suo/flake8-github-action,"Code quality,Continuous integration","Continuous integration,Code quality"
jstastny/publish-gem-to-github,"Publishing,Deployment","Deployment,Continuous integration"
mattsb42-meta/not-grep,"Code quality,Continuous integration","Code quality,Continuous integration"
hadolint/hadolint-action,"Code quality,Container CI","Code quality,Monitoring"
styfle/cancel-workflow-action,"Testing,Continuous integration","Continuous integration,Utilities"
ravinderjangra/android-ndk-toolchain-setup,"Mobile,Utilities","Dependency management,Mobile CI"
snok/latest-python-versions,"Continuous integration,Deployment","Continuous integration,Testing"
Khan/pull-request-workflow-cancel,"Code review,Continuous integration","Continuous integration,Utilities"
sobolevn/misspell-fixer-action,"Localization,Utilities","Code quality,Code review"
actions/github-script,Utilities,"Utilities,Open Source management"
wasmerio/setup-wasmer,"Dependency management,Publishing","Deployment,Dependency management"
chrnorm/deployment-status,"Continuous integration,Deployment","Deployment,Continuous integration"
christian-draeger/increment-semantic-version,"Deployment,Utilities","Continuous integration,Utilities"
dessant/lock-threads,"Project management,Open Source management","Project management,Open Source management"
nanasess/setup-chromedriver,"Testing,Continuous integration","Continuous integration,Testing"
SvanBoxel/delete-merged-branch,"Project management,Utilities","Security,Utilities"
gsactions/commit-message-checker,"Code review,Code quality","Utilities,Code quality"
depot/setup-action,"Continuous integration,Container CI","Continuous integration,Utilities"
fnkr/github-action-ghr,"Continuous integration,Deployment","Publishing,Deployment"
juankaram/sentry-release,"Code quality,Deployment","Deployment,Continuous integration"
actions/setup-dotnet,Utilities,"Continuous integration,Testing"
aws-actions/amazon-ecs-render-task-definition,"Continuous integration,Deployment","Deployment,Continuous integration"
technote-space/package-version-check-action,"Support,Utilities","Utilities,Project management"
art049/mongodb-cluster-action,"Testing,Continuous integration","Container CI,Continuous integration"
marvinpinto/action-automatic-releases,"Publishing,Deployment","Publishing,Deployment"
lirantal/is-website-vulnerable,"Testing,Security","Continuous integration,Deployment"
crazy-max/ghaction-container-scan,"Container CI,Code Scanning Ready","Security,Code quality"
Dirrk/action-docs,"Project management,Utilities","Utilities,Continuous integration"
reitermarkus/automerge,"Code review,Project management","Project management,Utilities"
peter-evans/close-issue,"Open Source management,Utilities","Open Source management,Utilities"
DuckSoft/extract-7z-action,"Deployment,Utilities","Utilities,Continuous integration"
mshick/add-pr-comment,"Code review,Utilities","Utilities,Chat"
ihiroky/archive-action,"Continuous integration,Utilities","Deployment,Utilities"
actions-cool/check-user-permission,"Open Source management,Utilities","Utilities,Open Source management"
dawidd6/action-get-tag,"Publishing,Utilities","Publishing,Continuous integration"
Andrew-Chen-Wang/github-wiki-action,"Publishing,Project management","Deployment,Open Source management"
mislav/bump-homebrew-formula-action,"Publishing,Open Source management","Publishing,Utilities"
JamesIves/github-pages-deploy-action,"Publishing,Deployment","Deployment,Publishing"
estroz/rerun-actions,"Continuous integration,Utilities","Utilities,Open Source management"
seanmiddleditch/gha-setup-vsdevenv,"Continuous integration,Utilities","Continuous integration,Dependency management"
Justintime50/homebrew-releaser,"Dependency management,Publishing","Continuous integration,Deployment"
ciiiii/toml-editor,"Deployment,Utilities","Deployment,Container CI"
cachix/cachix-action,"Testing,Continuous integration","Continuous integration,Dependency management"
ScottBrenner/cfn-lint-action,"Code quality,Continuous integration","Code quality,Code review"
skjnldsv/check-actor-permission,"Open Source management,Utilities","Utilities,Open Source management"
terraform-linters/setup-tflint,"Code quality,Utilities","Continuous integration,Code quality"
hmarr/debug-action,"Testing,Utilities","Utilities,Continuous integration"
vedantmgoyal2009/winget-releaser,"Publishing,Deployment","Utilities,Project management"
Geertvdc/setup-hub,"Continuous integration,Utilities","Continuous integration,Deployment"
act10ns/slack,"Chat,Continuous integration","Chat,Reporting"
duderman/rubocop-annotate-action,"Code quality,Continuous integration","Code quality,Code review"
pxgamer/composer-action,Dependency management,"Dependency management,Chat"
aochmann/actions-download-artifact,"Continuous integration,Deployment","Continuous integration,Utilities"
brpaz/hadolint-action,"Code quality,Container CI","Code quality,Open Source management"
technote-space/auto-cancel-redundant-job,Utilities,"Utilities,Project management"
leafo/gh-actions-luarocks,"Continuous integration,Utilities","Continuous integration,Dependency management"
s3krit/Matrix-Message,"Reporting,Chat","Chat,Container CI"
dorny/test-reporter,"Testing,Reporting","Testing,Reporting"
jpmcb/prow-github-actions,"Project management,Continuous integration","Utilities,Project management"
Swatinem/rust-cache,"Dependency management,Utilities","Dependency management,Continuous integration"
cirrus-actions/rebase,"Code review,Utilities","Utilities,Open Source management"
JS-DevTools/npm-publish,"Publishing,Deployment","Publishing,Deployment"
samuelmeuli/lint-action,"Testing,Code quality","Code quality,Testing"
oke-py/npm-audit-action,"Dependency management,Security","Project management,Code quality"
fluttercandies/no-free-usage-action,"Community,Project management","Utilities,Open Source management"
