project,actual,predicted
amancevice/setup-code-climate,"Testing,Code quality","Code quality,Code review"
rossmaclean/docker-build-push-action,"Continuous integration,Container CI","Container CI,Continuous integration"
olegtarasov/get-tag,Utilities,"Publishing,Utilities"
timkrase/phpunit-coverage-badge,"Testing,Reporting","Testing,Code quality"
nearform/github-action-notify-release,"Continuous integration,Deployment","Utilities,Chat"
sajari/setup-cue,"Dependency management,Continuous integration","Continuous integration,Dependency management"
lauchacarro/Azure-Storage-Action,"Continuous integration,Deployment","Deployment,Continuous integration"
AlbertHernandez/branch-name-action,"Code review,Utilities","Utilities,Continuous integration"
snow-actions/eclint,"Code quality,Continuous integration","Continuous integration,Dependency management"
bcomnes/cleanup-xvfb,"Testing,Utilities","Utilities,Dependency management"
MayMeow/action-mattermost-notify,"Chat,Container CI","Chat,Reporting"
guite/generator-action,"IDEs,Continuous integration","Continuous integration,Publishing"
thomaseizinger/keep-a-changelog-new-release,"Publishing,Continuous integration","Publishing,Continuous integration"
einaregilsson/build-number,"Publishing,Continuous integration","Continuous integration,Utilities"
seanmiddleditch/gha-setup-vsdevenv,"Continuous integration,Utilities","Continuous integration,Desktop tools"
Klemensas/action-autotag,"Publishing,Deployment","Publishing,Utilities"
jetli/wasm-pack-action,"Continuous integration,Deployment","Continuous integration,Deployment"
wow-actions/needs-more-info,"Support,Utilities","Utilities,Open Source management"
cytopia/shell-command-retry-action,"Community,Continuous integration","Continuous integration,Testing"
maxim-lobanov/setup-xamarin,Utilities,"Continuous integration,Deployment"
vmactions/cf-tunnel,"Testing,Continuous integration","Testing,Utilities"
JuliaRegistries/TagBot,Continuous integration,"Publishing,Deployment"
SmartsquareGmbH/delete-old-packages,"Publishing,Continuous integration","Utilities,Publishing"
gleich/gh_fsync,"Project management,Utilities","Utilities,Deployment"
Crec0/announce-n-crosspost,"Community,Utilities","Chat,Continuous integration"
jaroldwong/ecr-push-and-ecs-deploy,Deployment,"Deployment,Continuous integration"
AthleticNet/comment-test-coverage,"Testing,Code quality","Code quality,Testing"
ammaraskar/sphinx-problem-matcher,"Code quality,Publishing","Reporting,Code review"
fnkr/github-action-git-bash,Utilities,"Continuous integration,Deployment"
jcs090218/setup-emacs,"Testing,Deployment","Code quality,Code review"
ludeeus/action-shellcheck,"Code quality,Continuous integration","Code quality,Code review"
coverallsapp/github-action,"Code review,Code quality","Code quality,Testing"
s3krit/Matrix-Message,"Reporting,Chat","Continuous integration,Chat"
peter-evans/rebase,"Open Source management,Utilities","Utilities,Open Source management"
actions-rs/toolchain,"Dependency management,Open Source management","Dependency management,Utilities"
isthatcentered/dist-to-ftp,"Continuous integration,Deployment","Deployment,Continuous integration"
wei/curl,"Continuous integration,Utilities","Utilities,Continuous integration"
rectalogic/notify-irc,Chat,"Chat,Reporting"
CyberAndrii/setup-steamcmd,"Community,Utilities","Continuous integration,Testing"
Roang-zero1/github-upload-release-artifacts-action,"Publishing,Continuous integration","Deployment,Publishing"
