project,actual,predicted
szymansd/auto-release-notes,"Project management,Utilities","Open Source management,Publishing"
ilammy/setup-nasm,"Continuous integration,Utilities","API management,Backup Utilities"
n1hility/cancel-previous-runs,Continuous integration,"Publishing,Utilities"
ory/closed-reference-notifier,"Code review,Code search","Continuous integration,Utilities"
sigstore/cosign-installer,"Security,Container CI","Utilities,Continuous integration"
johnnyhuy/actions-discord-git-webhook,"Reporting,Chat","Continuous integration,Deployment"
dawidd6/action-send-mail,"Reporting,Monitoring","Deployment,Utilities"
wow-actions/needs-more-info,"Support,Utilities","Continuous integration,Code review"
joutvhu/get-release,"Continuous integration,Utilities","Utilities,Publishing"
terraform-linters/setup-tflint,"Code quality,Utilities","Utilities,Deployment"
joerick/pr-labels-action,"Continuous integration,Utilities","Utilities,Continuous integration"
uraimo/run-on-arch-action,"Continuous integration,Container CI","Continuous integration,Utilities"
Justintime50/homebrew-releaser,"Dependency management,Publishing","Continuous integration,Utilities"
SonarSource/sonarcloud-github-action,"Security,Code quality","Code quality,Continuous integration"
Resnovas/label-mastermind,"Project management,Utilities","Publishing,Code review"
snok/install-poetry,"Dependency management,Publishing","Continuous integration,Dependency management"
Roang-zero1/github-create-release-action,"Publishing,Continuous integration","Continuous integration,Utilities"
nikeee/docfx-action,"Publishing,Deployment","Deployment,Container CI"
wagoid/commitlint-github-action,"Code review,Code quality","Utilities,Dependency management"
patrickedqvist/wait-for-vercel-preview,"Continuous integration,Utilities","Continuous integration,Deployment"
reitermarkus/rerun-workflow,"Code review,Continuous integration","Project management,Code review"
getong/mariadb-action,"Continuous integration,Container CI","Continuous integration,Container CI"
arma-actions/bom-check,"Code quality,Utilities","Deployment,Continuous integration"
tibdex/github-app-token,"Continuous integration,Utilities","Deployment,Utilities"
aws-actions/aws-cloudformation-github-deploy,"Publishing,Deployment","Continuous integration,Dependency management"
fossa-contrib/fossa-action,"Security,Continuous integration","Continuous integration,Utilities"
satackey/action-docker-layer-caching,"Container CI,Utilities","Continuous integration,Utilities"
arma-actions/sqflint,Code quality,"Continuous integration,Utilities"
shufo/auto-assign-reviewer-by-files,"Code review,Continuous integration","Open Source management,Utilities"
mfinelli/setup-imagemagick,"Dependency management,Utilities","Continuous integration,Utilities"
SublimeText/syntax-test-action,"Testing,Continuous integration","Continuous integration,Utilities"
robinraju/release-downloader,"Continuous integration,Utilities","Continuous integration,Utilities"
aws-actions/configure-aws-credentials,"Continuous integration,Deployment","Dependency management,Testing"
up9cloud/action-rsync,"Publishing,Deployment","Continuous integration,Utilities"
art049/mongodb-cluster-action,"Testing,Continuous integration","Continuous integration,Container CI"
goto-bus-stop/standard-action,Code quality,"Code quality,Continuous integration"
avinal/github-pages-deploy-action,"Publishing,Project management","Deployment,Continuous integration"
firebelley/godot-export,"Publishing,Utilities","Continuous integration,Utilities"
peter-evans/slash-command-dispatch,"Open Source management,Utilities","Utilities,Continuous integration"
vedantmgoyal2009/winget-releaser,"Publishing,Deployment","Continuous integration,Utilities"
Renato66/auto-label,"Community,Utilities","Utilities,Continuous integration"
little-core-labs/install-terraform,"Dependency management,Deployment","Continuous integration,Utilities"
cytopia/shell-command-retry-action,"Community,Continuous integration","Utilities,Container CI"
mxschmitt/action-tmate,"Continuous integration,Utilities","Utilities,Continuous integration"
preactjs/compressed-size-action,"Reporting,Code quality","Utilities,Open Source management"
loopwerk/tag-changelog,"Publishing,Deployment","Utilities,Open Source management"
fabriciomurta/ensure-nuget-source,"Dependency management,Utilities","Utilities,Continuous integration"
JoshuaTheMiller/conditional-build-matrix,"Continuous integration,Container CI","Continuous integration,Utilities"
superbrothers/close-pull-request,Utilities,"Utilities,Code review"
jitterbit/await-check-suites,"Continuous integration,Utilities","Utilities,Continuous integration"
pypa/gh-action-pip-audit,"Dependency management,Security","Utilities,Continuous integration"
jetli/wasm-pack-action,"Continuous integration,Deployment","Continuous integration,Deployment"
vsoch/pull-request-action,"Publishing,Deployment","Continuous integration,Utilities"
fastify/github-action-merge-dependabot,"Dependency management,Open Source management","Open Source management,Utilities"
gaurav-nelson/github-action-markdown-link-check,"Testing,Continuous integration","Utilities,Continuous integration"
mhausenblas/mkdocs-deploy-gh-pages,"Publishing,Deployment","Deployment,Continuous integration"
MrLuje/vs-marketplace-publisher,"Publishing,Deployment","Publishing,Utilities"
mislav/bump-homebrew-formula-action,"Publishing,Open Source management","Publishing,Deployment"
SvanBoxel/delete-merged-branch,"Project management,Utilities","Reporting,Dependency management"
paambaati/codeclimate-action,"Code review,Code quality","Testing,Utilities"
styfle/cancel-workflow-action,"Testing,Continuous integration","Utilities,Open Source management"
emibcn/badge-action,"Monitoring,Utilities","Utilities,Open Source management"
valadas/set-dnn-manifest-versions,Utilities,"Utilities,Continuous integration"
julia-actions/setup-julia,"Continuous integration,Utilities","Continuous integration,Utilities"
technote-space/auto-cancel-redundant-job,Utilities,"Utilities,Support"
shogo82148/actions-upload-release-asset,Publishing,"Continuous integration,Publishing"
shivammathur/setup-php,"Continuous integration,Utilities","Testing,Reporting"
Simek/yarn-lock-changes,"Dependency management,Code review","Dependency management,Continuous integration"
docker/build-push-action,"Continuous integration,Container CI","Utilities,Deployment"
hasura/comment-progress,"Reporting,Utilities","Utilities,Open Source management"
10up/action-wordpress-plugin-deploy,"Publishing,Deployment","Continuous integration,Deployment"
ros-tooling/action-ros-ci,"Container CI,Utilities","Continuous integration,Utilities"
