project,actual,predicted
azure/setup-helm,"Continuous integration,Container CI","Deployment,Container CI"
EmilienM/devstack-action,"Testing,Deployment","Deployment,Continuous integration"
imranismail/setup-kustomize,"Deployment,Container CI","Continuous integration,Utilities"
Numericas/matrix-action,"Reporting,Project management","Chat,Continuous integration"
actionshub/test-kitchen,"Testing,Continuous integration","Continuous integration,Container CI"
MeilCli/danger-action,"Code review,Code quality","Continuous integration,Testing"
Sibz/github-status-action,"Continuous integration,Utilities","Utilities,Continuous integration"
Geertvdc/setup-hub,"Continuous integration,Utilities","Continuous integration,Utilities"
joschi/setup-jdk,"Continuous integration,Utilities","Continuous integration,Utilities"
SmartsquareGmbH/delete-old-packages,"Publishing,Continuous integration","Continuous integration,Utilities"
maxheld83/ghpages,"Publishing,Deployment","Deployment,Publishing"
chromaui/action,"Code review,Code quality","Utilities,Open Source management"
mhausenblas/mkdocs-deploy-gh-pages,"Publishing,Deployment","Deployment,Publishing"
Sniddl/discord-commits,"Chat,Project management","Chat,Reporting"
easingthemes/ssh-deploy,"Continuous integration,Deployment","Deployment,Continuous integration"
RafikFarhad/clang-format-github-action,"Code review,Code quality","Code quality,Code review"
fusion-engineering/setup-git-credentials,"Dependency management,Security","Deployment,Security"
dev-drprasad/delete-tag-and-release,"Publishing,Utilities","Continuous integration,Publishing"
jcs090218/setup-emacs,"Testing,Deployment","Continuous integration,Testing"
technote-space/get-diff-action,Utilities,"Utilities,Project management"
heinrichreimer/action-github-changelog-generator,"Publishing,Continuous integration","Project management,Publishing"
ZanderZhao/gitbook-action,"Deployment,Container CI","Deployment,Publishing"
mislav/bump-homebrew-formula-action,"Publishing,Open Source management","Utilities,Continuous integration"
manyuanrong/setup-ossutil,"Continuous integration,Deployment","Utilities,Open Source management"
peter-evans/commit-comment,"Project management,Open Source management","Utilities,Open Source management"
joelanford/go-apidiff,"Code review,API management","Dependency management,Code quality"
docker/build-push-action,"Continuous integration,Container CI","Container CI,Continuous integration"
shogo82148/actions-goveralls,"Testing,Code quality","Code quality,Testing"
cachix/cachix-action,"Testing,Continuous integration","Continuous integration,Dependency management"
actions/setup-elixir,Continuous integration,"Continuous integration,Testing"
erzz/dockle-action,"Security,Code quality","Code quality,Code review"
jam1garner/contributors-only,"Support,Open Source management","Utilities,Open Source management"
lovasoa/setup-emscripten,"Testing,Continuous integration","Continuous integration,Utilities"
vsoch/pull-request-action,"Publishing,Deployment","Project management,Utilities"
github-actions-x/commit,"Continuous integration,Utilities","Utilities,Continuous integration"
satackey/action-docker-layer-caching,"Container CI,Utilities","Continuous integration,Dependency management"
sigstore/cosign-installer,"Security,Container CI","Continuous integration,Container CI"
mschilde/auto-label-merge-conflicts,"Project management,Utilities","Project management,Open Source management"
preactjs/compressed-size-action,"Reporting,Code quality","Code quality,Code review"
pullreminders/slack-action,"Chat,Continuous integration","Chat,Reporting"
carloscastrojumo/github-cherry-pick-action,"Continuous integration,Deployment","Utilities,Project management"
HighwayThree/jira-upload-deployment-info,"Continuous integration,Utilities","Deployment,Continuous integration"
deep5050/cppcheck-action,"Code review,Code quality","Utilities,Project management"
warrenbuckley/Setup-MSBuild,"Continuous integration,Utilities","Continuous integration,Utilities"
jazibjafri/issue-volunteer,"Community,Utilities","Utilities,Project management"
repo-sync/pull-request,"Project management,Open Source management","Utilities,Project management"
Swatinem/rust-cache,"Dependency management,Utilities","Continuous integration,Dependency management"
proudust/gh-describe,"Publishing,Utilities","Utilities,Continuous integration"
