project,actual,predicted
ammaraskar/gcc-problem-matcher,"Reporting,Code quality","Code quality,Continuous integration"
Renato66/auto-label,"Community,Utilities","Project management,Open Source management"
EndBug/label-sync,"Open Source management,Utilities","Open Source management,Project management"
tim-actions/get-pr-commits,"Code review,Utilities","Code review,Continuous integration"
AButler/upload-release-assets,Publishing,"Publishing,Continuous integration"
juliangruber/read-file-action,Utilities,"Utilities,Publishing"
addnab/docker-run-action,"Continuous integration,Container CI","Container CI,Continuous integration"
Andrew-Chen-Wang/github-wiki-action,"Publishing,Project management","Publishing,Deployment"
thomaseizinger/keep-a-changelog-new-release,"Publishing,Continuous integration","Continuous integration,Utilities"
aktions/codeclimate-test-reporter,Code quality,"Testing,Code quality"
Harmon758/postgresql-action,"Continuous integration,Container CI","Continuous integration,Utilities"
SamKirkland/FTP-Deploy-Action,"Continuous integration,Deployment","Deployment,Publishing"
clupprich/ruby-build-action,Continuous integration,"Testing,Continuous integration"
gradle-update/update-gradle-wrapper-action,"Dependency management,Utilities","Security,Utilities"
peter-evans/create-or-update-comment,"Open Source management,Utilities","Utilities,Open Source management"
eunchurn/action-publish,"Publishing,Continuous integration","Deployment,Utilities"
fnkr/github-action-ghr,"Continuous integration,Deployment","Publishing,Continuous integration"
eine/setup-msys2,"Continuous integration,Utilities","Continuous integration,Utilities"
newrelic/repolinter-action,"Open Source management,Continuous integration","Utilities,Open Source management"
shivammathur/setup-php,"Continuous integration,Utilities","Code quality,Continuous integration"
lra/setup-kubeval,"Continuous integration,Utilities","Continuous integration,Utilities"
cirrus-actions/rebase,"Code review,Utilities","Utilities,Open Source management"
azure/setup-helm,"Continuous integration,Container CI","Continuous integration,Deployment"
agentd00nut/jekyll-build-optional-deploy-gh-pages,"Publishing,Deployment","Deployment,Continuous integration"
SublimeText/syntax-test-action,"Testing,Continuous integration","Continuous integration,Code quality"
rinx/setup-k3d,"Continuous integration,Container CI","Continuous integration,Container CI"
xt0rted/slash-command-action,"Chat,Continuous integration","Code quality,Open Source management"
Chocobo1/setup-ccache-action,"Continuous integration,Utilities","Continuous integration,Utilities"
uesteibar/reviewer-lottery,"Code review,Utilities","Code review,Project management"
ridedott/merge-me-action,"Dependency management,Security","Continuous integration,Utilities"
aws-actions/amazon-ecs-render-task-definition,"Continuous integration,Deployment","Deployment,Continuous integration"
sbeyer/include-guards-check-action,"Code review,Code quality","Code quality,Code review"
willcaul/jest-github-action,"Testing,Continuous integration","Reporting,Testing"
peter-evans/find-comment,"Open Source management,Utilities","Utilities,Open Source management"
strumwolf/delete-deployment-environment,"Deployment,Utilities","Deployment,Utilities"
julia-actions/julia-runtest,"Testing,Continuous integration","Continuous integration,Utilities"
actions-cool/ci-notice,"Dependency management,Utilities","Utilities,Open Source management"
ethomson/issue-dashboard,"Project management,Open Source management","Project management,Open Source management"
darenm/Setup-VSTest,"Testing,Utilities","Utilities,Code quality"
adamkdean/simple-slack-notify,"Reporting,Chat","Chat,Continuous integration"
BetaHuhn/repo-file-sync-action,"Continuous integration,Utilities","Deployment,Utilities"
bbonkr/get-version-action,"Support,Utilities","Publishing,Utilities"
redhat-actions/push-to-registry,"Deployment,Container CI","Container CI,Utilities"
appleboy/ssh-action,"Continuous integration,Deployment","Deployment,Continuous integration"
tlylt/install-graphviz,"Continuous integration,Utilities","Continuous integration,Testing"
HarshCasper/validate-issues-over-pull-requests,"Community,Open Source management","Open Source management,Project management"
XAMPPRocky/deploy-mdbook,"Publishing,Deployment","Deployment,Continuous integration"
Niraj-Kamdar/manylinux-wheel-builder,"Publishing,Deployment","Continuous integration,Publishing"
alex-page/github-project-automation-plus,Project management,"Project management,Utilities"
Logerfo/triage-action,"Project management,Utilities","Project management,Utilities"
hugo19941994/delete-draft-releases,"Publishing,Utilities","Deployment,Continuous integration"
urlstechie/urlchecker-action,"Monitoring,Continuous integration","Code quality,Utilities"
katyo/publish-crates,"Publishing,Deployment","Dependency management,Open Source management"
isthatcentered/dist-to-ftp,"Continuous integration,Deployment","Deployment,Continuous integration"
YosysHQ/setup-oss-cad-suite,"Continuous integration,Container CI","Continuous integration,Publishing"
stefanbuck/github-issue-parser,"Open Source management,Utilities","Project management,Open Source management"
jam1garner/contributors-only,"Support,Open Source management","Utilities,Open Source management"
whelk-io/maven-settings-xml-action,"Dependency management,Open Source management","Continuous integration,Utilities"
ludeeus/dockerfile-updater,"Dependency management,Continuous integration","Deployment,Code search"
vmactions/netbsd-vm,"Testing,Continuous integration","Testing,Continuous integration"
warrenbuckley/Setup-Nuget,"Continuous integration,Utilities","Utilities,Dependency management"
gerbal/always-cache,"Dependency management,Utilities","Dependency management,Publishing"
GuillaumeFalourd/diff-action,"Testing,Utilities","Utilities,Continuous integration"
hadialqattan/relies-on,"Testing,Utilities","Continuous integration,Utilities"
estroz/rerun-actions,"Continuous integration,Utilities","Deployment,Utilities"
BobAnkh/auto-generate-changelog,"Continuous integration,Utilities","Publishing,Utilities"
msimerson/node-lts-versions,"Testing,Continuous integration","Continuous integration,Testing"
chabad360/htmlproofer,"Testing,Continuous integration","Deployment,Code quality"
limitusus/json-syntax-check,"Testing,Code review","Code quality,Continuous integration"
potatoqualitee/azuright,"Testing,Utilities","Continuous integration,Testing"
sand4rt/ftp-deployer,"Publishing,Deployment","Continuous integration,Deployment"
goreleaser/goreleaser-action,"Continuous integration,Utilities","Continuous integration,Deployment"
brunoborges/justextract,"Deployment,Utilities","Deployment,Utilities"
kiegroup/github-action-build-chain,"Continuous integration,Utilities","Code review,Utilities"
r7kamura/redocly-problem-matchers,"Code review,Continuous integration","Continuous integration,Code quality"
DerJuulsn/todo-issue,"Project management,Utilities","Code review,Project management"
dangoslen/changelog-enforcer,"Project management,Utilities","Project management,Utilities"
lots0logs/gh-action-get-changed-files,Utilities,"Continuous integration,Code review"
humbletim/install-vulkan-sdk,"Dependency management,Utilities","Dependency management,Utilities"
valadas/get-release-branch-version,Utilities,"Publishing,Utilities"
everlytic/branch-merge,"Continuous integration,Utilities","Deployment,Continuous integration"
robvanderleek/create-issue-branch,"Project management,Utilities","Project management,Open Source management"
snow-actions/tweet,"Chat,Continuous integration","Chat,Community"
