project,actual,predicted
cytopia/shell-command-retry-action,"Community,Continuous integration","Container CI,Utilities"
golangci/golangci-lint-action,"Code quality,Continuous integration","Utilities,Code review"
trilom/file-changes-action,"Code review,Utilities","Utilities,Continuous integration"
fabriciobastian/download-release-asset-action,"Dependency management,Continuous integration","Continuous integration,Container CI"
fastify/github-action-merge-dependabot,"Dependency management,Open Source management","Testing,Utilities"
yanglbme/gitee-pages-action,"Publishing,Deployment","Deployment,Utilities"
ros-tooling/setup-ros,"Continuous integration,Utilities","Continuous integration,Utilities"
crowdin/github-action,Localization,"Continuous integration,Utilities"
githubocto/repo-visualizer,"Project management,Learning","Utilities,Code quality"
leafo/gh-actions-luarocks,"Continuous integration,Utilities","Continuous integration,Container CI"
oxsecurity/megalinter,"Code quality,Continuous integration","Utilities,Publishing"
10up/action-wordpress-plugin-deploy,"Publishing,Deployment","Continuous integration,Deployment"
Xotabu4/send-to-allure-server-action,"Testing,Reporting","Code quality,Code review"
styfle/cancel-workflow-action,"Testing,Continuous integration","Utilities,Open Source management"
m1ner79/Github-Twittction,"Chat,Publishing","Code review,Code quality"
nrwl/nx-set-shas,"Continuous integration,Utilities","Utilities,Continuous integration"
keithweaver/aws-s3-github-action,"Continuous integration,Deployment","Continuous integration,Dependency management"
lukka/run-vcpkg,"Dependency management,Continuous integration","Dependency management,Continuous integration"
EndBug/latest-tag,"Open Source management,Utilities","Utilities,Continuous integration"
arma-actions/bom-check,"Code quality,Utilities","Code quality,Code review"
jetli/wasm-bindgen-action,"Continuous integration,Deployment","Continuous integration,Deployment"
octokit/request-action,Utilities,"Continuous integration,Utilities"
fossa-contrib/fossa-action,"Security,Continuous integration","Continuous integration,Utilities"
archive/github-actions-slack,"Chat,Utilities","Chat,Continuous integration"
BSFishy/pip-action,Utilities,"Publishing,Continuous integration"
Azure/login,"Continuous integration,Deployment","Continuous integration,Deployment"
JuliaRegistries/TagBot,Continuous integration,"Deployment,Utilities"
saadmk11/changelog-ci,"Project management,Continuous integration","Utilities,Continuous integration"
newrelic/repolinter-action,"Open Source management,Continuous integration","Utilities,Continuous integration"
sudo-bot/action-scrutinizer,"Reporting,Utilities","Continuous integration,Utilities"
joerick/pr-labels-action,"Continuous integration,Utilities","Utilities,Continuous integration"
n1hility/cancel-previous-runs,Continuous integration,"Utilities,Publishing"
aochmann/actions-download-artifact,"Continuous integration,Deployment","Continuous integration,Deployment"
conda-incubator/setup-miniconda,"Dependency management,Utilities","Utilities,Open Source management"
DeLaGuardo/setup-clojure,"Continuous integration,Utilities","Utilities,Continuous integration"
mfinelli/setup-imagemagick,"Dependency management,Utilities","Utilities,Continuous integration"
MishaKav/pytest-coverage-comment,"Testing,Reporting","Utilities,Reporting"
osism/ansible-lint-action,"Code quality,Continuous integration","Continuous integration,Utilities"
chrislennon/action-aws-cli,Utilities,"Continuous integration,Deployment"
technote-space/get-diff-action,Utilities,"Code quality,Code review"
julia-actions/julia-runtest,"Testing,Continuous integration","Deployment,Continuous integration"
stefanzweifel/git-auto-commit-action,Utilities,"Continuous integration,Utilities"
ashutoshgngwr/validate-fastlane-supply-metadata,"Code review,Mobile","Continuous integration,Deployment"
StephanThierry/ftp-delete-action,"Deployment,Utilities","Deployment,Dependency management"
chetan/invalidate-cloudfront-action,"Publishing,Deployment","Code quality,Code review"
redhat-plumbers-in-action/advanced-issue-labeler,"Reporting,Project management","Testing,Code quality"
jiro4989/build-deb-action,"Testing,Continuous integration","Utilities,Continuous integration"
imjohnbo/gh-polls-bot-action,"Open Source management,Utilities","Continuous integration,Deployment"
jitterbit/await-check-suites,"Continuous integration,Utilities","Continuous integration,Utilities"
thatisuday/go-cross-build,"Deployment,Utilities","Continuous integration,Deployment"
willcaul/jest-github-action,"Testing,Continuous integration","Utilities,Continuous integration"
arma-actions/workshop-upload,"Publishing,Utilities","Publishing,Deployment"
rzr/fediverse-action,"Community,Chat","Dependency management,Continuous integration"
EndBug/version-check,"Publishing,Deployment","Utilities,Continuous integration"
dieghernan/cff-validator,"Testing,Publishing","Code review,Utilities"
stefanbuck/github-issue-parser,"Open Source management,Utilities","Utilities,Monitoring"
calibreapp/image-actions,Utilities,"Utilities,Continuous integration"
gradle-update/update-gradle-wrapper-action,"Dependency management,Utilities","Utilities,Support"
phoenix-actions/test-reporting,"Testing,Reporting","Reporting,Testing"
wow-actions/needs-more-info,"Support,Utilities","Continuous integration,Container CI"
ZanderZhao/gitbook-action,"Deployment,Container CI","Publishing,Testing"
peter-evans/enable-pull-request-automerge,"Project management,Continuous integration","Open Source management,Project management"
ashutoshvarma/setup-ninja,"Continuous integration,Utilities","Continuous integration,Utilities"
actions/github-script,Utilities,"Continuous integration,Utilities"
peaceiris/actions-gh-pages,"Publishing,Deployment","Publishing,Continuous integration"
brittonhayes/validate-yaml,"Code review,Code quality","Deployment,Continuous integration"
nerdyscout/kicad-exports,"Publishing,Utilities","Utilities,Continuous integration"
goreleaser/goreleaser-action,"Continuous integration,Utilities","Continuous integration,Utilities"
RichiCoder1/vault-action,"Security,Continuous integration","Continuous integration,Container CI"
Simek/yarn-lock-changes,"Dependency management,Code review","Continuous integration,Dependency management"
erzz/dockle-action,"Security,Code quality","Continuous integration,Code review"
hadolint/hadolint-action,"Code quality,Container CI","Deployment,Utilities"
