project,actual,predicted
actionshub/chef-install,"Dependency management,Continuous integration",Code quality
repo-sync/github-sync,"Continuous integration,Utilities",Open Source management
mansona/npm-lockfile-version,"Testing,Continuous integration",Utilities
avinal/github-pages-deploy-action,"Publishing,Project management",Deployment
sajari/setup-cue,"Dependency management,Continuous integration",Continuous integration
redhat-actions/push-to-registry,"Deployment,Container CI",Container CI
davidB/rust-cargo-make,"Continuous integration,Deployment",Dependency management
Sniddl/discord-commits,"Chat,Project management",Chat
nick-zh/composer,"Dependency management,Continuous integration",Continuous integration
StephaneBour/actions-php-cpd,"Code review,Code quality",Code quality
octodemo/pr-gatekeeper,"Code review,Project management",Code review
humbletim/setup-vulkan-sdk,"Dependency management,Utilities",Utilities
GuillaumeFalourd/diff-action,"Testing,Utilities",Continuous integration
chrnorm/deployment-status,"Continuous integration,Deployment",Deployment
dawidd6/action-send-mail,"Reporting,Monitoring",Deployment
hashicorp/setup-terraform,"Deployment,Utilities",Code quality
cycjimmy/semantic-release-action,"Publishing,Utilities",Deployment
roots/issue-closer-action,"Community,Open Source management",Community
vmactions/dragonflybsd-vm,"Testing,Continuous integration",Testing
pozetroninc/github-action-get-latest-release,"Dependency management,Continuous integration",Container CI
technote-space/package-version-check-action,"Support,Utilities",Publishing
azure/setup-helm,"Continuous integration,Container CI",Continuous integration
negz/create-tag,"Publishing,Continuous integration",Continuous integration
lee-dohm/close-matching-issues,"Project management,Utilities",Utilities
m1ner79/Github-Twittction,"Chat,Publishing",Deployment
wangchucheng/git-repo-sync,"Open Source management,Continuous integration",Deployment
technote-space/assign-author,"Project management,Utilities",Project management
innocarpe/actions-slack,"Chat,Continuous integration",Chat
aws-actions/aws-cloudformation-github-deploy,"Publishing,Deployment",Deployment
Pendect/action-rsyncer,"Continuous integration,Deployment",Deployment
elgohr/Publish-Docker-Github-Action,"Publishing,Container CI",Container CI
deliverybot/status,Deployment,Deployment
OskarStark/phpstan-ga,"Code quality,Continuous integration",Continuous integration
dawidd6/action-publish-gem,"Publishing,Deployment",Publishing
MishaKav/pytest-coverage-comment,"Testing,Reporting",Code quality
cypress-io/github-action,"Testing,Continuous integration",Container CI
aws-actions/amazon-ecr-login,"Continuous integration,Deployment",Deployment
jsdaniell/create-json,"Continuous integration,Utilities",Deployment
manusa/actions-publish-docker,"Publishing,Container CI",Publishing
codecov/codecov-action,"Code review,Code quality",Code quality
MeilCli/danger-action,"Code review,Code quality",Continuous integration
yanglbme/gitee-pages-action,"Publishing,Deployment",Container CI
