project,actual,predicted
ldeluigi/markdown-docs,"Continuous integration,Utilities","Publishing,Chat"
s-weigand/setup-conda,"Dependency management,Utilities","Project management,Code review"
actions-rs/cargo,"Dependency management,Open Source management","Continuous integration,Dependency management"
sebastianpopp/ftp-action,"Publishing,Deployment","Deployment,Utilities"
heinrichreimer/action-github-changelog-generator,"Publishing,Continuous integration","Project management,Utilities"
gsactions/commit-message-checker,"Code review,Code quality","Code quality,Continuous integration"
nick-fields/assert-action,"Testing,Utilities","Continuous integration,Utilities"
mstksg/get-package,"Dependency management,Deployment","Continuous integration,Container CI"
thomaseizinger/set-crate-version,"Publishing,Utilities","Continuous integration,Dependency management"
guite/generator-action,"IDEs,Continuous integration","Continuous integration,Code quality"
ncipollo/release-action,"Project management,Continuous integration","Publishing,Deployment"
growse/xunit-mattermost-reporter,"Testing,Continuous integration","Chat,Reporting"
wearerequired/lint-action,"Testing,Code quality","Code quality,Code review"
LoliGothick/rustfmt-check,"Code review,Code quality","Open Source management,Deployment"
peaceiris/actions-mdbook,"Publishing,Deployment","Publishing,Deployment"
de-vri-es/setup-git-credentials,"Dependency management,Security","Deployment,Continuous integration"
adamkdean/simple-slack-notify,"Reporting,Chat","Chat,Reporting"
Roang-zero1/github-create-release-action,"Publishing,Continuous integration","Publishing,Continuous integration"
lucasbento/auto-close-issues,"Support,Community","Project management,Utilities"
AckeeCZ/load-xcode-version,"IDEs,Desktop tools","Deployment,Continuous integration"
toshimaru/auto-author-assign,"Project management,Open Source management","Utilities,Project management"
githubocto/repo-visualizer,"Project management,Learning","Utilities,Deployment"
repo-sync/github-sync,"Continuous integration,Utilities","Project management,Code review"
mhiew/redoc-lint-github-action,"Testing,Continuous integration","Code quality,Continuous integration"
cirrus-actions/rebase,"Code review,Utilities","Utilities,Open Source management"
anothrNick/github-tag-action,"Open Source management,Continuous integration","Publishing,Utilities"
charmixer/auto-changelog-action,"Continuous integration,Deployment","Continuous integration,Deployment"
tibdex/github-app-token,"Continuous integration,Utilities","Utilities,Deployment"
ReactiveCircus/android-emulator-runner,"Testing,Mobile CI","Continuous integration,Mobile CI"
ravinderjangra/android-ndk-toolchain-setup,"Mobile,Utilities","Dependency management,Open Source management"
aws-actions/aws-cloudformation-github-deploy,"Publishing,Deployment","Deployment,Continuous integration"
narcodico/base64-to-path,"Continuous integration,Utilities","Continuous integration,Deployment"
lra/setup-kubeval,"Continuous integration,Utilities","Continuous integration,Dependency management"
jasongitmail/fast-webhook,"Deployment,Utilities","Chat,Reporting"
devmasx/merge-branch,"Continuous integration,Utilities","Utilities,Project management"
DuckSoft/create-7z-action,"Publishing,Utilities","Utilities,Deployment"
ttionya/Repository-Sync-Hub,"Open Source management,Continuous integration","Utilities,Open Source management"
mhausenblas/mkdocs-deploy-gh-pages,"Publishing,Deployment","Publishing,Deployment"
JasonEtco/is-sponsor-label-action,"Open Source management,GitHub Sponsors","Project management,Utilities"
peter-evans/close-issue,"Open Source management,Utilities","Open Source management,Utilities"
plettich/action-codespell,"Code review,Code quality","Code quality,Code review"
imjasonh/setup-ko,"Publishing,Continuous integration","Continuous integration,Utilities"
amondnet/vercel-action,"Continuous integration,Deployment","Security,Deployment"
