project,actual,predicted
superbrothers/close-pull-request,Utilities,"Utilities,Continuous integration"
10up/action-wordpress-plugin-deploy,"Publishing,Deployment","Deployment,Publishing"
reviewdog/action-misspell,"Code review,Code quality","Code quality,Code review"
actions/first-interaction,Utilities,"Continuous integration,Dependency management"
fluttercandies/no-free-usage-action,"Community,Project management","Open Source management,Utilities"
StephaneBour/actions-php-lint,"Code quality,Continuous integration","Continuous integration,Code quality"
ashutoshvarma/action-cmake-build,"Testing,Continuous integration","Continuous integration,Code quality"
s4u/setup-maven-action,"Continuous integration,Utilities","Continuous integration,Utilities"
niden/actions-memcached,Container CI,"Continuous integration,Dependency management"
rodrigogiraoserrao/python-black-check,"Code quality,Utilities","Code quality,Continuous integration"
actions-cool/ci-notice,"Dependency management,Utilities","Open Source management,Utilities"
codecov/codecov-action,"Code review,Code quality","Continuous integration,Code quality"
actionshub/chef-delivery,"Code quality,Continuous integration","Continuous integration,Dependency management"
keithweaver/aws-s3-github-action,"Continuous integration,Deployment","Deployment,Continuous integration"
benjlevesque/short-sha,"Continuous integration,Utilities","Utilities,Continuous integration"
c2corg/browserslist-update-action,"Continuous integration,Utilities","Utilities,Open Source management"
jarylc/github-app-token,"Security,Deployment","Utilities,Deployment"
makaroni4/prcop,"Code review,Learning","Code review,Utilities"
crazy-max/ghaction-docker-buildx,"Continuous integration,Container CI","Container CI,Deployment"
olafurpg/setup-gpg,"Continuous integration,Utilities","Continuous integration,Deployment"
lukka/get-cmake,"Continuous integration,Utilities","Continuous integration,Dependency management"
mymindstorm/setup-emsdk,"Dependency management,Continuous integration","Continuous integration,Dependency management"
r7kamura/redocly-problem-matchers,"Code review,Continuous integration","Code quality,Continuous integration"
whelk-io/maven-settings-xml-action,"Dependency management,Open Source management","Continuous integration,Utilities"
jwgmeligmeyling/spotbugs-github-action,"Security,Code quality","Continuous integration,Testing"
octodemo/pr-gatekeeper,"Code review,Project management","Code review,Project management"
chrnorm/deployment-status,"Continuous integration,Deployment","Deployment,Publishing"
StephanThierry/ftp-delete-action,"Deployment,Utilities","Deployment,Publishing"
peter-evans/find-comment,"Open Source management,Utilities","Utilities,Open Source management"
myci-actions/publish-nuget,"Continuous integration,Deployment","Publishing,Dependency management"
deep5050/cppcheck-action,"Code review,Code quality","Utilities,Code review"
davidB/rust-cargo-make,"Continuous integration,Deployment","Continuous integration,Dependency management"
percy/exec-action,"Testing,Continuous integration","Testing,Continuous integration"
sinshutu/upload-to-discord,"Publishing,Utilities","Chat,Deployment"
kzrnm/get-net-sdk-project-versions-action,"Publishing,Utilities","Utilities,Deployment"
yuezk/publish-obs-package,"Publishing,Deployment","Deployment,Publishing"
actions/setup-java,Utilities,"Continuous integration,Utilities"
olegtarasov/get-tag,Utilities,"Publishing,Utilities"
marcodallasanta/ssh-scp-deploy,"Continuous integration,Deployment","Deployment,Continuous integration"
johnnyhuy/actions-discord-git-webhook,"Reporting,Chat","Chat,Publishing"
srvaroa/labeler,"Code review,Project management","Utilities,Project management"
antifree/json-to-variables,"Deployment,Utilities","Utilities,Continuous integration"
cardinalby/google-api-fetch-token-action,"Security,API management","Publishing,Deployment"
JuliaRegistries/TagBot,Continuous integration,"Publishing,Deployment"
sersoft-gmbh/xcodebuild-action,"Testing,Continuous integration","Testing,Continuous integration"
dawidd6/action-get-tag,"Publishing,Utilities","Continuous integration,Publishing"
nearform/github-action-notify-release,"Continuous integration,Deployment","Utilities,Chat"
wow-actions/use-app-token,"Security,Utilities","Utilities,Chat"
shivammathur/cache-extensions,"Continuous integration,Utilities","Continuous integration,Dependency management"
potatoqualitee/azuright,"Testing,Utilities","Deployment,Continuous integration"
emibcn/badge-action,"Monitoring,Utilities","Testing,Utilities"
innovationnorway/setup-vault,"Security,Deployment","Continuous integration,Security"
browser-actions/setup-firefox,"Testing,Continuous integration","Continuous integration,Testing"
ldeluigi/markdown-docs,"Continuous integration,Utilities","Publishing,Deployment"
toshimaru/auto-author-assign,"Project management,Open Source management","Project management,Utilities"
flood-io/is-published-on-npm,"Publishing,Utilities","Publishing,Deployment"
mavrosxristoforos/get-xml-info,"Code search,Utilities","Continuous integration,Testing"
seanmiddleditch/gha-setup-ninja,"Continuous integration,Utilities","Continuous integration,Utilities"
snok/container-retention-policy,"Continuous integration,Container CI","Utilities,Publishing"
lovasoa/setup-emscripten,"Testing,Continuous integration","Continuous integration,Dependency management"
SchoofsKelvin/event-utilities,"Continuous integration,Utilities","Publishing,Continuous integration"
ravsamhq/notify-slack-action,"Reporting,Chat","Chat,Reporting"
rectalogic/notify-irc,Chat,"Chat,Continuous integration"
dangoslen/changelog-enforcer,"Project management,Utilities","Continuous integration,Publishing"
actions/setup-node,Utilities,"Continuous integration,Utilities"
calibreapp/image-actions,Utilities,"Deployment,Continuous integration"
nick-fields/assert-action,"Testing,Utilities","Continuous integration,Utilities"
juankaram/sentry-release,"Code quality,Deployment","Deployment,Publishing"
microsoft/setup-msbuild,"IDEs,Continuous integration","Continuous integration,Deployment"
syphar/restore-pip-download-cache,"Dependency management,Continuous integration","Dependency management,Continuous integration"
SirYwell/sarif-annotator,"Code review,Code quality","Code quality,Continuous integration"
johnwbyrd/update-release,"Continuous integration,Container CI","Publishing,Deployment"
DanielTamkin/HasLabel,"Open Source management,Utilities","Utilities,Open Source management"
theleagueof/fontship,"Publishing,Continuous integration","Continuous integration,Publishing"
browser-actions/setup-geckodriver,"Testing,Continuous integration","Continuous integration,Dependency management"
korelstar/xmllint-problem-matcher,"Reporting,Code review","Code review,Reporting"
shimataro/ssh-key-action,"Publishing,Deployment","Continuous integration,Deployment"
joutvhu/get-release,"Continuous integration,Utilities","Publishing,Deployment"
returntocorp/bento-action,"Code quality,Continuous integration","Chat,Code review"
gradle/gradle-build-action,"Continuous integration,Utilities","Dependency management,Security"
imciner2/run-lcov,"Code quality,Continuous integration","Code quality,Testing"
warrenbuckley/Setup-MSBuild,"Continuous integration,Utilities","Continuous integration,Utilities"
geekyeggo/delete-artifact,Continuous integration,"Utilities,Continuous integration"
OSDKDev/unlock-issues,"Open Source management,Utilities","Open Source management,Utilities"
Resnovas/label-mastermind,"Project management,Utilities","Utilities,Project management"
technote-space/auto-cancel-redundant-job,Utilities,"Utilities,Project management"
charmixer/auto-changelog-action,"Continuous integration,Deployment","Code quality,Continuous integration"
andymckay/cancel-action,Utilities,"Continuous integration,Testing"
ilammy/setup-nasm,"Continuous integration,Utilities","Continuous integration,Dependency management"
appleboy/ssh-action,"Continuous integration,Deployment","Deployment,Continuous integration"
BSFishy/pip-action,Utilities,"Continuous integration,Dependency management"
oxsecurity/megalinter,"Code quality,Continuous integration","Code quality,Chat"
bloodf/github-deploy-action,"Dependency management,Deployment","Deployment,Publishing"
Sibz/github-status-action,"Continuous integration,Utilities","Utilities,Continuous integration"
yuichielectric/dive-action,"Continuous integration,Container CI","Continuous integration,Utilities"
hkusu/s3-upload-action,"Mobile CI,Continuous integration","Deployment,Publishing"
danielpalme/ReportGenerator-GitHub-Action,"Testing,Code quality","Testing,Code quality"
addnab/docker-run-action,"Continuous integration,Container CI","Continuous integration,Container CI"
ahmadnassri/action-dependabot-auto-merge,"Dependency management,Continuous integration","Dependency management,Utilities"
ad-m/github-push-action,"Deployment,Utilities","Publishing,Utilities"
volta-cli/action,Utilities,"Continuous integration,Dependency management"
rips/github-action-scan,"Security,Continuous integration","Security,Continuous integration"
pypa/gh-action-pip-audit,"Dependency management,Security","Dependency management,Security"
Legion2/swagger-ui-action,"API management,Utilities","Publishing,Deployment"
jazibjafri/issue-volunteer,"Community,Utilities","Utilities,Open Source management"
reviewdog/action-eslint,"Code review,Code quality","Code quality,Code review"
art049/mongodb-cluster-action,"Testing,Continuous integration","Continuous integration,Container CI"
AndrewMusgrave/automatic-pull-request-review,"Code review,Open Source management","Code review,Utilities"
wbari/start-mongoDB,"Testing,Utilities","Continuous integration,Container CI"
dev-drprasad/delete-tag-and-release,"Publishing,Utilities","Publishing,Code quality"
damccorm/tag-ur-it,"Project management,Open Source management","Continuous integration,Project management"
christian-draeger/increment-semantic-version,"Deployment,Utilities","Continuous integration,Utilities"
eskatos/gradle-command-action,"Continuous integration,Utilities","Dependency management,Security"
ludeeus/setup-homeassistant,"Testing,Continuous integration","Continuous integration,Utilities"
crazy-max/ghaction-github-labeler,"Project management,Open Source management","Utilities,Open Source management"
elgohr/Publish-Docker-Github-Action,"Publishing,Container CI","Container CI,Publishing"
garygrossgarten/github-action-ssh,"Continuous integration,Utilities","Deployment,Continuous integration"
ibakshay/greet-contributors-action,"Open Source management,Utilities","Utilities,Chat"
tibdex/backport,"Continuous integration,Utilities","Utilities,Continuous integration"
dblock/create-a-github-issue,"Project management,Open Source management","Utilities,Project management"
pre-commit/action,"Testing,Code quality","Code quality,Continuous integration"
tibdex/autosquash,"Continuous integration,Utilities","Code review,Utilities"
xresloader/upload-to-github-release,"Continuous integration,Deployment","Publishing,Deployment"
wizhi/setup-buf,"Code quality,Continuous integration","Continuous integration,Dependency management"
jstastny/publish-gem-to-github,"Publishing,Deployment","Publishing,Deployment"
wagoid/commitlint-github-action,"Code review,Code quality","Continuous integration,Code quality"
Namchee/conventional-pr,"Project management,Open Source management","Testing,Utilities"
MilesChou/composer-action,"Dependency management,Container CI","Continuous integration,Dependency management"
keithalpichi/slack-action,"Reporting,Chat","Chat,Reporting"
fudan-mse/latex-action,"Testing,Continuous integration","Publishing,Deployment"
engineerd/setup-kind,"Continuous integration,Container CI","Continuous integration,Container CI"
hkusu/status-create-action,"Continuous integration,Utilities","Utilities,Continuous integration"
tvrcgo/upload-to-oss,"Publishing,Utilities","Open Source management,Deployment"
jurplel/install-qt-action,"Dependency management,Continuous integration","Continuous integration,Testing"
samuelmeuli/action-maven-publish,"Publishing,Deployment","Continuous integration,Deployment"
manyuanrong/setup-ossutil,"Continuous integration,Deployment","Deployment,Open Source management"
s-weigand/setup-conda,"Dependency management,Utilities","Utilities,Code review"
proudust/gh-describe,"Publishing,Utilities","Utilities,Continuous integration"
andresz1/size-limit-action,"Reporting,Monitoring","Continuous integration,Reporting"
s0/git-publish-subdir-action,"Publishing,Deployment","Deployment,Publishing"
ljmf00/setup-lua,"Dependency management,Utilities","Continuous integration,Utilities"
joncloud/makensis-action,"Deployment,Desktop tools","Continuous integration,Testing"
returntocorp/semgrep-action,"Security,Continuous integration","Continuous integration,Code quality"
joelanford/go-apidiff,"Code review,API management","Utilities,Publishing"
SwiftDocOrg/swift-doc,"Code quality,Publishing","Continuous integration,Learning"
HarshCasper/validate-issues-over-pull-requests,"Community,Open Source management","Utilities,Open Source management"
oplik0/openPGP-action,"Security,Utilities","Deployment,Utilities"
ZanderZhao/gitbook-action,"Deployment,Container CI","Deployment,Publishing"
r0adkll/sign-android-release,"Mobile CI,Publishing","Continuous integration,Deployment"
andstor/file-existence-action,"Testing,Utilities","Utilities,Code quality"
n1hility/cancel-previous-runs,Continuous integration,"Continuous integration,Testing"
fauguste/auto-cancellation-running-action,"Continuous integration,Utilities","Utilities,Continuous integration"
AnandChowdhary/release-scheduler,"Dependency management,Continuous integration","Utilities,Container CI"
dineshsonachalam/markdown-autodocs,"Continuous integration,Deployment","Testing,Chat"
fjogeleit/yaml-update-action,"Continuous integration,Utilities","Utilities,Continuous integration"
duderman/rubocop-annotate-action,"Code quality,Continuous integration","Code review,Code quality"
lucacome/docker-image-update-checker,"Dependency management,Utilities","Continuous integration,Container CI"
ciiiii/toml-editor,"Deployment,Utilities","Publishing,Utilities"
RobertMrowiec/URLs-checker,"Project management,Code search","Utilities,Continuous integration"
skaut/wordpress-version-checker,"Dependency management,Utilities","Deployment,Project management"
shogo82148/actions-setup-redis,"Testing,Utilities","Continuous integration,Testing"
Atrox/codecov-action,"Testing,Code quality","Code quality,Testing"
StephaneBour/actions-php-cpd,"Code review,Code quality","Continuous integration,Code quality"
ishworkh/docker-image-artifact-upload,"Continuous integration,Utilities","Continuous integration,Utilities"
vsoch/pull-request-action,"Publishing,Deployment","Utilities,Project management"
cachix/cachix-action,"Testing,Continuous integration","Continuous integration,Dependency management"
Secbyte/dotnet-sonarscanner,"Code quality,Continuous integration","Security,Code quality"
Sibz/await-status-action,"Continuous integration,Utilities","Continuous integration,Utilities"
lando/code-sign-action,"Security,Deployment","Continuous integration,Deployment"
actions-cool/issues-helper,"Utilities,AI Assisted","Utilities,Open Source management"
ethomson/issue-dashboard,"Project management,Open Source management","Project management,Community"
mislav/bump-homebrew-formula-action,"Publishing,Open Source management","Publishing,Dependency management"
maxheld83/ghpages,"Publishing,Deployment","Deployment,Publishing"
mvasigh/dispatch-action,"Continuous integration,Utilities","Utilities,Open Source management"
dessant/issue-states,"Project management,Utilities","Project management,Open Source management"
docker/login-action,"Container CI,Utilities","Deployment,Container CI"
Simek/yarn-lock-changes,"Dependency management,Code review","Dependency management,Utilities"
subosito/flutter-action,"Continuous integration,Utilities","Testing,Continuous integration"
xinthink/action-telegram,"Chat,Utilities","Utilities,Testing"
mathieudutour/github-tag-action,"Publishing,Utilities","Publishing,Continuous integration"
roots/issue-closer-action,"Community,Open Source management","Utilities,Chat"
andreaswilli/delete-release-assets-action,"Continuous integration,Deployment","Publishing,Deployment"
everlytic/branch-merge,"Continuous integration,Utilities","Utilities,Continuous integration"
Qard/heaviest-objects-in-the-universe,"Dependency management,Code quality","Utilities,Testing"
loopwerk/tag-changelog,"Publishing,Deployment","Publishing,Continuous integration"
mdecoleman/pr-branch-name,"Continuous integration,Utilities","Utilities,Continuous integration"
azure/webapps-deploy,"Continuous integration,Deployment","Continuous integration,Deployment"
shufo/auto-assign-reviewer-by-files,"Code review,Continuous integration","Utilities,Code review"
edgarrc/action-7z,"Deployment,Utilities","Continuous integration,Utilities"
