project,actual,predicted
thehanimo/pr-title-checker,"Open Source management,Utilities","Project management,Utilities"
shimataro/ssh-key-action,"Publishing,Deployment","Deployment,Continuous integration"
lukka/run-cmake,"Dependency management,Continuous integration","Continuous integration,Dependency management"
docker-practice/actions-setup-docker,Container CI,"Continuous integration,Container CI"
fregante/setup-git-user,"Publishing,Deployment","Publishing,Project management"
damccorm/tag-ur-it,"Project management,Open Source management","Project management,Continuous integration"
jakejarvis/s3-sync-action,"Deployment,Utilities","Deployment,Continuous integration"
charmixer/auto-changelog-action,"Continuous integration,Deployment","Code quality,Continuous integration"
valadas/get-release-branch-version,Utilities,"Continuous integration,Publishing"
crystal-lang/install-crystal,"Testing,Continuous integration","Continuous integration,Dependency management"
korelstar/xmllint-problem-matcher,"Reporting,Code review","Code review,Reporting"
filipstefansson/set-npm-token-action,"Dependency management,Deployment","Publishing,Dependency management"
wemake-services/dotenv-linter,"Code review,Code quality","Code quality,Code review"
fusion-engineering/setup-git-credentials,"Dependency management,Security","Deployment,Continuous integration"
morphy2k/revive-action,"Code quality,Utilities","Code quality,Code review"
ridedott/merge-me-action,"Dependency management,Security","Continuous integration,Utilities"
allenevans/set-env,Utilities,"Continuous integration,Utilities"
EmilienM/devstack-action,"Testing,Deployment","Continuous integration,Deployment"
medyagh/setup-minikube,"Continuous integration,Container CI","Container CI,Testing"
nolar/setup-k3d-k3s,"Continuous integration,Container CI","Continuous integration,Container CI"
MilesChou/composer-action,"Dependency management,Container CI","Dependency management,Continuous integration"
actions/create-release,"Publishing,Utilities","Publishing,Deployment"
MirageNet/unity-runner,"Continuous integration,Desktop tools","Community,Continuous integration"
hpi-swa/setup-smalltalkCI,"Continuous integration,Deployment","Continuous integration,Testing"
BjornLuG/release-for-reddit-action,"Chat,Publishing","Continuous integration,Chat"
christian-draeger/increment-semantic-version,"Deployment,Utilities","Continuous integration,Utilities"
tim-actions/commit-body-check,"Code review,Continuous integration","Utilities,Continuous integration"
AlexxNB/chalogen,"Code quality,Open Source management","Publishing,Continuous integration"
kevinpainchaud/simple-ftp-deploy-action,Deployment,"Deployment,Publishing"
rips/github-action-scan,"Security,Continuous integration","Continuous integration,Security"
fjogeleit/yaml-update-action,"Continuous integration,Utilities","Utilities,Continuous integration"
zymap/bot,Utilities,"Utilities,Publishing"
wbari/start-mongoDB,"Testing,Utilities","Continuous integration,Testing"
SamKirkland/FTP-Deploy-Action,"Continuous integration,Deployment","Deployment,Publishing"
burrunan/gradle-cache-action,"Continuous integration,Utilities","Utilities,Continuous integration"
bbonkr/get-version-action,"Support,Utilities","Continuous integration,Utilities"
actions-cool/pr-auto-label,"Dependency management,Open Source management","Utilities,Open Source management"
crondaemon/close-pr,"Code review,Utilities","Project management,Open Source management"
fossa-contrib/fossa-action,"Security,Continuous integration","Continuous integration,Dependency management"
snow-actions/git-config-user,"Continuous integration,Utilities","Chat,Continuous integration"
jenkey2011/vuepress-deploy,"Publishing,Deployment","Deployment,Publishing"
debianmaster/actions-k3s,"Testing,Continuous integration","Continuous integration,Container CI"
lauchacarro/Azure-Storage-Action,"Continuous integration,Deployment","Deployment,Continuous integration"
