project,actual,predicted
lovasoa/setup-emscripten,"Testing,Continuous integration","Continuous integration,Utilities"
jiro4989/build-deb-action,"Testing,Continuous integration","Code quality,Code review"
10up/action-wordpress-plugin-asset-update,"Publishing,Deployment","Deployment,Publishing"
andresz1/size-limit-action,"Reporting,Monitoring","Continuous integration,Dependency management"
cycjimmy/semantic-release-action,"Publishing,Utilities","Deployment,Publishing"
joncloud/makensis-action,"Deployment,Desktop tools","Continuous integration,Dependency management"
undergroundwires/bump-everywhere,"Open Source management,Continuous integration","Utilities,Publishing"
snow-actions/git-config-user,"Continuous integration,Utilities","Deployment,Utilities"
coditory/changelog-parser,"Project management,Continuous integration","Publishing,Utilities"
szymansd/auto-release-notes,"Project management,Utilities","Utilities,Publishing"
primer/figma-action,"Utilities,Desktop tools","Dependency management,Continuous integration"
githubocto/repo-visualizer,"Project management,Learning","Code quality,Continuous integration"
dorny/test-reporter,"Testing,Reporting","Testing,Code quality"
TimonVS/pr-labeler-action,"Project management,Utilities","Open Source management,Project management"
masa-iwasaki/setup-rbenv,"Testing,Continuous integration","Continuous integration,Dependency management"
returntocorp/bento-action,"Code quality,Continuous integration","Code review,Chat"
BirthdayResearch/oss-governance-bot,"Project management,Open Source management","Project management,Utilities"
samuelmeuli/action-maven-publish,"Publishing,Deployment","Continuous integration,Deployment"
fabiocaccamo/create-matrix-action,"Testing,Continuous integration","Continuous integration,Testing"
sebastianpopp/discord-action,"Chat,Utilities","Chat,Reporting"
volta-cli/action,Utilities,"Continuous integration,Testing"
joutvhu/get-release,"Continuous integration,Utilities","Publishing,Deployment"
wip/action,"Code review,Project management","Code review,Project management"
matt-ball/newman-action,"Testing,API management","Continuous integration,Testing"
travisj/build-number-action,"Continuous integration,Utilities","Continuous integration,Publishing"
EndBug/add-and-commit,"Project management,Utilities","Chat,Publishing"
Sibz/github-status-action,"Continuous integration,Utilities","Continuous integration,Utilities"
whoan/docker-build-with-cache-action,"Publishing,Container CI","Container CI,Deployment"
estroz/rerun-actions,"Continuous integration,Utilities","Utilities,Code review"
Roang-zero1/github-create-release-action,"Publishing,Continuous integration","Publishing,Continuous integration"
mikeal/merge-release,"Publishing,Open Source management","Publishing,Deployment"
skeet70/default-project-board-action,"Community,Project management","Deployment,Utilities"
shufo/auto-assign-reviewer-by-files,"Code review,Continuous integration","Code review,Project management"
rickstaa/top-issues-action,"Community,Project management","Open Source management,Project management"
reitermarkus/automerge,"Code review,Project management","Project management,Code review"
ashutoshgngwr/validate-fastlane-supply-metadata,"Code review,Mobile","Mobile CI,Container CI"
umutphp/php-var-dump-check-action,"Code review,Code quality","Continuous integration,Code quality"
tianhaoz95/mirror-action,"Code review,Code quality","Open Source management,Chat"
technote-space/get-diff-action,Utilities,"Utilities,Project management"
totaldebug/sphinx-publish-action,"Publishing,Continuous integration","Publishing,Deployment"
nrwl/nx-set-shas,"Continuous integration,Utilities","Continuous integration,Utilities"
hyperledger-tooling/github-contributors-action,"Community,Open Source management","Project management,Code review"
snow-actions/eclint,"Code quality,Continuous integration","Continuous integration,Code quality"
MayMeow/action-mattermost-notify,"Chat,Container CI","Chat,Reporting"
shalzz/zola-deploy-action,"Publishing,Deployment","Deployment,Publishing"
github-actions-x/commit,"Continuous integration,Utilities","Utilities,Publishing"
innocarpe/actions-slack,"Chat,Continuous integration","Chat,Reporting"
charmixer/auto-changelog-action,"Continuous integration,Deployment","Publishing,Deployment"
rectalogic/notify-irc,Chat,"Chat,Reporting"
WyriHaximus/github-action-get-previous-tag,Continuous integration,"Utilities,Continuous integration"
jurplel/install-qt-action,"Dependency management,Continuous integration","Continuous integration,Code quality"
andreacomo/maven-gav-extractor,"Continuous integration,Utilities","Utilities,Continuous integration"
wearerequired/lint-action,"Testing,Code quality","Code quality,Testing"
art049/mongodb-cluster-action,"Testing,Continuous integration","Continuous integration,Container CI"
ScottBrenner/cfn-lint-action,"Code quality,Continuous integration","Code quality,Code review"
suo/flake8-github-action,"Code quality,Continuous integration","Code quality,Code review"
gi0baro/setup-poetry-bin,"Dependency management,Publishing","Dependency management,Continuous integration"
archive/github-actions-slack,"Chat,Utilities","Chat,Reporting"
hpi-swa/setup-smalltalkCI,"Continuous integration,Deployment","Continuous integration,Utilities"
pxgamer/composer-action,Dependency management,"Dependency management,Chat"
ilammy/msvc-dev-cmd,"Continuous integration,Utilities","Continuous integration,Utilities"
cachix/cachix-action,"Testing,Continuous integration","Continuous integration,Dependency management"
YosysHQ/setup-oss-cad-suite,"Continuous integration,Container CI","Continuous integration,Container CI"
pr-annotators/mypy-pr-annotator,"Code review,Code quality","Continuous integration,Code quality"
mattnotmitt/doxygen-action,"Continuous integration,Utilities","Deployment,Testing"
fkirc/skip-duplicate-actions,"Testing,Continuous integration","Continuous integration,Code review"
ZanderZhao/gitbook-action,"Deployment,Container CI","Deployment,IDEs"
peter-evans/slash-command-dispatch,"Open Source management,Utilities","Utilities,Open Source management"
joelwmale/webhook-action,"Monitoring,API management","Chat,Reporting"
JamesSingleton/is-organization-member,"Community,Utilities","Open Source management,Project management"
streetsidesoftware/cspell-action,"Code quality,Utilities","Code quality,Code review"
crazy-max/ghaction-container-scan,"Container CI,Code Scanning Ready","Security,Container CI"
ihiroky/archive-action,"Continuous integration,Utilities","Deployment,Publishing"
derekprior/add-autoresponse,"Project management,Open Source management","Utilities,Open Source management"
superchargejs/redis-github-action,"Testing,Continuous integration","Utilities,Testing"
garygrossgarten/github-action-scp,"Continuous integration,Utilities","Deployment,Continuous integration"
RichiCoder1/vault-action,"Security,Continuous integration","Deployment,Container CI"
actions/labeler,"Open Source management,Utilities","Project management,Open Source management"
nanasess/setup-chromedriver,"Testing,Continuous integration","Continuous integration,Testing"
danielchabr/pr-labels-checker,"Continuous integration,Utilities","Project management,Code review"
filipstefansson/uuid-action,"Deployment,Utilities","Continuous integration,Utilities"
battila7/get-version-action,"Continuous integration,Utilities","Utilities,Publishing"
jpetrucciani/bandit-check,"Security,Continuous integration","Code quality,Continuous integration"
montudor/action-zip,"Deployment,Utilities","Publishing,Continuous integration"
Simek/yarn-lock-changes,"Dependency management,Code review","Dependency management,Utilities"
nearform/github-action-notify-release,"Continuous integration,Deployment","Utilities,Project management"
baptiste0928/cargo-install,"Continuous integration,Utilities","Dependency management,Continuous integration"
fabriciomurta/ensure-nuget-source,"Dependency management,Utilities","Utilities,Continuous integration"
Justintime50/homebrew-releaser,"Dependency management,Publishing","Publishing,Open Source management"
MeilCli/danger-action,"Code review,Code quality","Continuous integration,Testing"
potiuk/get-workflow-origin,"Continuous integration,Utilities","Utilities,Project management"
emibcn/badge-action,"Monitoring,Utilities","Utilities,Testing"
uraimo/run-on-arch-action,"Continuous integration,Container CI","Continuous integration,Testing"
canonical/has-signed-canonical-cla,"Community,Utilities","Container CI,Continuous integration"
mirromutth/mysql-action,"Continuous integration,Container CI","Testing,Continuous integration"
potiuk/cancel-workflow-runs,"Continuous integration,Utilities","Continuous integration,Utilities"
karancode/yamllint-github-action,"Code quality,Continuous integration","Code quality,Testing"
peter-evans/create-issue-from-file,"Reporting,Utilities","Utilities,Open Source management"
saulmaldonado/skip-workflow,"Continuous integration,Container CI","Testing,Continuous integration"
lucacome/docker-image-update-checker,"Dependency management,Utilities","Continuous integration,Container CI"
domjtalbot/skip-commit,"Continuous integration,Utilities","Continuous integration,Utilities"
JasonEtco/is-sponsor-label-action,"Open Source management,GitHub Sponsors","Open Source management,Project management"
cytopia/shell-command-retry-action,"Community,Continuous integration","Continuous integration,Utilities"
hadialqattan/relies-on,"Testing,Utilities","Utilities,Open Source management"
dawidd6/action-get-tag,"Publishing,Utilities","Publishing,Continuous integration"
8398a7/action-slack,"Chat,Continuous integration","Chat,Reporting"
step-security/harden-runner,"Security,Monitoring","Continuous integration,Security"
ad-m/report-link-action,"Monitoring,Code quality","Continuous integration,Utilities"
falti/dotenv-action,"Continuous integration,Utilities","Code quality,Code review"
leonsteinhaeuser/project-beta-automations,"Project management,API management","Utilities,Project management"
maxkomarychev/oction-create-issue,"API management,Utilities","Utilities,Open Source management"
little-core-labs/install-terraform,"Dependency management,Deployment","Continuous integration,Code quality"
pipeline-components/php-codesniffer,"Code review,Code quality","Continuous integration,Code quality"
filipstefansson/set-npm-token-action,"Dependency management,Deployment","Deployment,Publishing"
jpetrucciani/black-check,"Code quality,Continuous integration","Code quality,Continuous integration"
turtlebrowser/get-conan,"Dependency management,Continuous integration","Continuous integration,Utilities"
dropseed/changerelease,"Publishing,Project management","Publishing,Continuous integration"
nashmaniac/create-issue-action,"Support,Project management","Open Source management,Utilities"
shinhwagk/actions-crypto,"Security,Utilities","Utilities,Continuous integration"
robvanderleek/create-issue-branch,"Project management,Utilities","Project management,Open Source management"
hashicorp/setup-terraform,"Deployment,Utilities","Continuous integration,Code quality"
rinx/setup-k3d,"Continuous integration,Container CI","Continuous integration,Container CI"
gradle/gradle-build-action,"Continuous integration,Utilities","Dependency management,Security"
ThePBone/XamlTranslationValidator,"Code review,Localization","Open Source management,Community"
php-actions/composer,"Dependency management,Utilities","Continuous integration,Dependency management"
appleboy/ssh-action,"Continuous integration,Deployment","Deployment,Continuous integration"
sigstore/cosign-installer,"Security,Container CI","Continuous integration,Container CI"
fennecdjay/gwion-action,"Continuous integration,Utilities","Continuous integration,Testing"
wagoid/commitlint-github-action,"Code review,Code quality","Code quality,Code review"
MishaKav/pytest-coverage-comment,"Testing,Reporting","Code quality,Testing"
whelk-io/maven-settings-xml-action,"Dependency management,Open Source management","Continuous integration,Utilities"
