project,actual,predicted
snyk/release-notes-preview,"Code review,Utilities","Utilities,Publishing"
TheDoctor0/zip-release,"Continuous integration,Container CI","Publishing,Utilities"
filipstefansson/set-npm-token-action,"Dependency management,Deployment","Deployment,Publishing"
rzr/fediverse-action,"Community,Chat","Continuous integration,Chat"
juankaram/sentry-release,"Code quality,Deployment","Publishing,Reporting"
fnkr/github-action-ghr,"Continuous integration,Deployment","Publishing,Utilities"
actions/setup-node,Utilities,"Continuous integration,Dependency management"
yuezk/publish-obs-package,"Publishing,Deployment","Deployment,Publishing"
actions-rs/toolchain,"Dependency management,Open Source management","Continuous integration,Code quality"
jetli/wasm-bindgen-action,"Continuous integration,Deployment","Continuous integration,Deployment"
actions/github-script,Utilities,"Utilities,Open Source management"
SeokminHong/pages-action,"Publishing,Deployment","Deployment,Publishing"
tj-actions/changed-files,"Code review,Continuous integration","Utilities,Code review"
everlytic/branch-merge,"Continuous integration,Utilities","Utilities,Deployment"
reviewdog/action-golangci-lint,"Code review,Code quality","Code quality,Code review"
webfactory/ssh-agent,"Continuous integration,Utilities","Deployment,Continuous integration"
digitalocean/action-doctl,"Deployment,Container CI","Continuous integration,Container CI"
ahmadnassri/action-dependabot-auto-merge,"Dependency management,Continuous integration","Utilities,Continuous integration"
limitusus/json-syntax-check,"Testing,Code review","Code quality,Continuous integration"
montudor/action-zip,"Deployment,Utilities","Publishing,Continuous integration"
mymindstorm/setup-emsdk,"Dependency management,Continuous integration","Continuous integration,Dependency management"
excitedleigh/setup-nox,Continuous integration,"Continuous integration,Dependency management"
Ilshidur/action-discord,"Chat,Desktop tools","Chat,Reporting"
actions/setup-go,Utilities,"Dependency management,Continuous integration"
hmarr/debug-action,"Testing,Utilities","Utilities,Continuous integration"
hkusu/status-create-action,"Continuous integration,Utilities","Utilities,Continuous integration"
MayMeow/action-mattermost-notify,"Chat,Container CI","Chat,Reporting"
actionshub/yamllint,"Code quality,Continuous integration","Code quality,Testing"
Reedyuk/NPM-Version,"Publishing,Continuous integration","Publishing,Continuous integration"
chabad360/htmlproofer,"Testing,Continuous integration","Deployment,Code quality"
icepuma/rust-action,"Continuous integration,Container CI","Continuous integration,Deployment"
stefanzweifel/git-auto-commit-action,Utilities,"Continuous integration,Code review"
helaili/jekyll-action,Deployment,"Publishing,Deployment"
bcomnes/cleanup-xvfb,"Testing,Utilities","Continuous integration,Testing"
ffurrer2/extract-release-notes,"Publishing,Utilities","Publishing,Utilities"
maierj/fastlane-action,"Mobile CI,Mobile","Continuous integration,Testing"
xt0rted/dotnet-format,"Code quality,Continuous integration","Code quality,Continuous integration"
Legion2/swagger-ui-action,"API management,Utilities","Deployment,Publishing"
sand4rt/ftp-deployer,"Publishing,Deployment","Deployment,Continuous integration"
ilammy/setup-nasm,"Continuous integration,Utilities","Continuous integration,Dependency management"
returntocorp/semgrep-action,"Security,Continuous integration","Continuous integration,Code quality"
frankdejonge/use-github-token,"Continuous integration,Deployment","Deployment,Continuous integration"
aws-actions/amazon-ecs-render-task-definition,"Continuous integration,Deployment","Deployment,Continuous integration"
jwlawson/actions-setup-bazel,"Dependency management,Continuous integration","Continuous integration,Dependency management"
addnab/docker-run-action,"Continuous integration,Container CI","Container CI,Continuous integration"
MobSF/mobsfscan,"Code review,Code Scanning Ready","Dependency management,Publishing"
burrunan/gradle-cache-action,"Continuous integration,Utilities","Continuous integration,Utilities"
sibiraj-s/action-archiver,"Deployment,Utilities","Continuous integration,Utilities"
baijunyao/action-slack-notify,"Chat,Continuous integration","Chat,Reporting"
jakejarvis/s3-sync-action,"Deployment,Utilities","Deployment,Continuous integration"
shimataro/ssh-key-action,"Publishing,Deployment","Deployment,Continuous integration"
jpmcb/prow-github-actions,"Project management,Continuous integration","Project management,Utilities"
mamba-org/provision-with-micromamba,"Dependency management,Continuous integration","Dependency management,Utilities"
fylein/python-pylint-github-action,"Code review,Code quality","Code quality,Code review"
appleboy/ssh-action,"Continuous integration,Deployment","Deployment,Continuous integration"
mheap/github-action-required-labels,Code review,"Project management,Utilities"
dropseed/changerelease,"Publishing,Project management","Continuous integration,Publishing"
ttionya/Repository-Sync-Hub,"Open Source management,Continuous integration","Continuous integration,Open Source management"
Yikun/hub-mirror-action,"Open Source management,Utilities","Utilities,Deployment"
crowdin/github-action,Localization,"Continuous integration,Publishing"
gr2m/create-or-update-pull-request-action,Utilities,"Utilities,Project management"
fabriciobastian/download-release-asset-action,"Dependency management,Continuous integration","Publishing,Continuous integration"
MirageNet/unity-runner,"Continuous integration,Desktop tools","Continuous integration,Community"
benc-uk/workflow-dispatch,"Continuous integration,Deployment","Continuous integration,Utilities"
sudo-bot/action-scrutinizer,"Reporting,Utilities","Continuous integration,Code quality"
shogo82148/actions-setup-redis,"Testing,Utilities","Testing,Continuous integration"
StephaneBour/actions-php-security-checker,"Security,Code quality","Dependency management,Security"
bodinsamuel/renovate-automatic-branch,"Dependency management,Container CI","Utilities,Code review"
pullreminders/slack-action,"Chat,Continuous integration","Chat,API management"
kamilkisiela/graphql-inspector,"Monitoring,Code quality","Utilities,Open Source management"
enriikke/gatsby-gh-pages-action,"Publishing,Continuous integration","Deployment,Publishing"
r0adkll/sign-android-release,"Mobile CI,Publishing","Deployment,Publishing"
ok-nick/setup-aftman,"Continuous integration,Utilities","Utilities,Continuous integration"
de-vri-es/setup-git-credentials,"Dependency management,Security","Deployment,Continuous integration"
luchihoratiu/debug-via-ssh,"Continuous integration,Utilities","Deployment,Continuous integration"
codepunkt/npm-lockfile-changes,"Dependency management,Continuous integration","Code review,Dependency management"
gabrielfalcao/pyenv-action,"Dependency management,Continuous integration","Continuous integration,Dependency management"
sibiraj-s/action-eslint,"Code quality,Continuous integration","Code quality,Code review"
pozil/auto-assign-issue,"Support,Utilities","Project management,Open Source management"
andymckay/pycodestyle-action,Code review,"Code quality,Continuous integration"
s4u/maven-settings-action,"Continuous integration,Utilities","Continuous integration,Dependency management"
AckeeCZ/load-xcode-version,"IDEs,Desktop tools","Continuous integration,Deployment"
messense/maturin-action,"Deployment,Utilities","Deployment,Publishing"
fauguste/auto-cancellation-running-action,"Continuous integration,Utilities","Utilities,Continuous integration"
kentaro-m/auto-assign-action,"Code review,Open Source management","Project management,Code review"
joerick/pr-labels-action,"Continuous integration,Utilities","Open Source management,Project management"
zofrex/mirror-branch,"Community,Publishing","Utilities,Deployment"
ThePBone/XamlTranslationValidator,"Code review,Localization","Open Source management,Code quality"
wemake-services/dotenv-linter,"Code review,Code quality","Code quality,Code review"
NSCoder/rust-musl-action,"Code quality,Continuous integration","Continuous integration,Utilities"
Andrew-Chen-Wang/github-wiki-action,"Publishing,Project management","Deployment,Publishing"
SirYwell/sarif-annotator,"Code review,Code quality","Code quality,Continuous integration"
ludeeus/setup-homeassistant,"Testing,Continuous integration","Continuous integration,Utilities"
tclindner/sentry-releases-action,"Continuous integration,Deployment","Publishing,Reporting"
salsify/action-detect-and-tag-new-version,"Open Source management,Continuous integration","Publishing,Continuous integration"
