project,actual,predicted
sarnold/gitchangelog-action,"Publishing,Continuous integration","Publishing,Continuous integration"
nanasess/setup-php,Continuous integration,"Continuous integration,Code quality"
dessant/label-actions,"Project management,Utilities","Project management,Open Source management"
dblock/create-a-github-issue,"Project management,Open Source management","Project management,Utilities"
matlab-actions/setup-matlab,"Continuous integration,Utilities","Continuous integration,Testing"
hmarr/debug-action,"Testing,Utilities","Utilities,Continuous integration"
benjlevesque/short-sha,"Continuous integration,Utilities","Utilities,Continuous integration"
hkusu/apk-info-action,"Reporting,Mobile CI","Utilities,Continuous integration"
danielealbano/lcov-action,"Code review,Code quality","Code quality,Testing"
Sibz/github-status-action,"Continuous integration,Utilities","Utilities,Continuous integration"
dorny/test-reporter,"Testing,Reporting","Testing,Reporting"
burrunan/gradle-cache-action,"Continuous integration,Utilities","Dependency management,Continuous integration"
whoan/docker-build-with-cache-action,"Publishing,Container CI","Container CI,Deployment"
VeryGoodOpenSource/very_good_coverage,"Testing,Code quality","Code quality,Testing"
srvaroa/labeler,"Code review,Project management","Project management,Code review"
nanasess/composer-installer-action,"Dependency management,Continuous integration","Dependency management,Continuous integration"
qcastel/github-actions-maven-release,Continuous integration,"Continuous integration,Deployment"
jwlawson/actions-setup-bazel,"Dependency management,Continuous integration","Continuous integration,Dependency management"
nikeee/docfx-action,"Publishing,Deployment","Publishing,Deployment"
warrenbuckley/Setup-MSBuild,"Continuous integration,Utilities","Testing,Utilities"
TheDoctor0/zip-release,"Continuous integration,Container CI","Deployment,Publishing"
browser-actions/setup-geckodriver,"Testing,Continuous integration","Continuous integration,Testing"
mateothegreat/action-release,"Deployment,Utilities","Utilities,Publishing"
joelanford/go-apidiff,"Code review,API management","Dependency management,Code quality"
ecampidoglio/auto-release-draft,"Publishing,Deployment","Code Scanning Ready,Security"
ethomson/issue-dashboard,"Project management,Open Source management","Project management,Community"
step-security/harden-runner,"Security,Monitoring","Continuous integration,Security"
vmactions/cf-tunnel,"Testing,Continuous integration","Continuous integration,Testing"
yuezk/publish-obs-package,"Publishing,Deployment","Deployment,Publishing"
golangci/golangci-lint-action,"Code quality,Continuous integration","Code quality,Code review"
actions/setup-java,Utilities,"Continuous integration,Utilities"
actions/upload-artifact,Utilities,"Continuous integration,Utilities"
StephanThierry/ftp-delete-action,"Deployment,Utilities","Deployment,Publishing"
peter-evans/create-issue-from-file,"Reporting,Utilities","Utilities,Project management"
SwiftDocOrg/swift-doc,"Code quality,Publishing","Continuous integration,Learning"
dawidd6/action-download-artifact,"Continuous integration,Deployment","Continuous integration,Utilities"
gabrielfalcao/pyenv-action,"Dependency management,Continuous integration","Continuous integration,Dependency management"
