project,actual,predicted
manyuanrong/setup-ossutil,"Continuous integration,Deployment","Utilities,Deployment,Open Source management,Container CI,AI Assisted,Chat,Dependency management,Publishing,Backup Utilities,Localization,Code Scanning Ready,GitHub Sponsors,Mobile,Desktop tools,IDEs,Mobile CI,Code search,Support,Monitoring,Community,API management,Security,Code review,Reporting,Project management,Testing,Code quality,Continuous integration"
jandelgado/gcov2lcov-action,"Testing,Code quality","Code quality,Testing,Code review,Continuous integration,Dependency management,Reporting,IDEs,Security,Mobile CI,Desktop tools,Mobile,Backup Utilities,Localization,Code Scanning Ready,GitHub Sponsors,API management,Community,Deployment,Support,Code search,AI Assisted,Monitoring,Chat,Project management,Publishing,Container CI,Open Source management,Utilities"
cypress-io/github-action,"Testing,Continuous integration","Continuous integration,Testing,Code quality,Reporting,Security,Utilities,Dependency management,API management,Chat,Mobile CI,Publishing,Code search,IDEs,Deployment,Desktop tools,Mobile,Backup Utilities,Localization,Code Scanning Ready,Monitoring,GitHub Sponsors,Container CI,Code review,Support,Community,AI Assisted,Open Source management,Project management"
pullreminders/slack-action,"Chat,Continuous integration","Chat,Reporting,API management,Continuous integration,Monitoring,Community,Backup Utilities,GitHub Sponsors,Mobile,Localization,Code Scanning Ready,Mobile CI,Security,Desktop tools,IDEs,Code search,Support,AI Assisted,Project management,Publishing,Container CI,Dependency management,Code review,Code quality,Testing,Open Source management,Deployment,Utilities"
digitalocean/action-doctl,"Deployment,Container CI","Continuous integration,Container CI,Publishing,Deployment,Dependency management,Security,Code quality,Testing,Desktop tools,Support,Monitoring,API management,Backup Utilities,Project management,Mobile,IDEs,Code search,Localization,Code Scanning Ready,GitHub Sponsors,Mobile CI,Community,AI Assisted,Reporting,Chat,Open Source management,Code review,Utilities"
peter-evans/close-pull,"Open Source management,Utilities","Open Source management,Utilities,Project management,Support,Community,Localization,Code Scanning Ready,GitHub Sponsors,Mobile,Backup Utilities,Desktop tools,IDEs,AI Assisted,Mobile CI,Code search,Monitoring,API management,Security,Reporting,Code review,Chat,Dependency management,Container CI,Code quality,Testing,Publishing,Deployment,Continuous integration"
actions/download-artifact,Utilities,"Continuous integration,Utilities,Deployment,Dependency management,Publishing,Mobile CI,Desktop tools,Testing,Backup Utilities,Security,Mobile,IDEs,Localization,Code Scanning Ready,AI Assisted,GitHub Sponsors,Monitoring,Container CI,API management,Code search,Code quality,Support,Reporting,Community,Chat,Code review,Project management,Open Source management"
totaldebug/sphinx-publish-action,"Publishing,Continuous integration","Publishing,Code quality,Deployment,Continuous integration,GitHub Sponsors,Backup Utilities,Code search,Code Scanning Ready,Mobile,Localization,Desktop tools,AI Assisted,IDEs,Mobile CI,Security,API management,Monitoring,Support,Reporting,Chat,Community,Dependency management,Testing,Open Source management,Container CI,Project management,Code review,Utilities"
JamesIves/github-pages-deploy-action,"Publishing,Deployment","Deployment,Publishing,Continuous integration,GitHub Sponsors,Backup Utilities,Desktop tools,Reporting,Monitoring,Mobile,Localization,API management,Code Scanning Ready,Security,Code search,IDEs,Support,Mobile CI,AI Assisted,Testing,Dependency management,Chat,Community,Project management,Container CI,Open Source management,Code review,Code quality,Utilities"
xinthink/action-telegram,"Chat,Utilities","Utilities,Reporting,Code quality,Code review,Testing,Publishing,Chat,Open Source management,API management,Container CI,Desktop tools,Code search,Community,Security,Deployment,Monitoring,Mobile,AI Assisted,Project management,Code Scanning Ready,IDEs,Localization,GitHub Sponsors,Backup Utilities,Continuous integration,Support,Mobile CI,Dependency management"
