project,actual,predicted
umutphp/php-var-dump-check-action,"Code review,Code quality","Continuous integration,Code quality"
textbook/git-checkout-submodule-action,Continuous integration,"Continuous integration,Security"
hmarr/debug-action,"Testing,Utilities","Utilities,Publishing"
s4u/maven-settings-action,"Continuous integration,Utilities","Continuous integration,Utilities"
release-drafter/release-drafter,"Publishing,Deployment","Publishing,Utilities"
at-wat/bloom-release-action,Deployment,"Continuous integration,Publishing"
codepunkt/npm-lockfile-changes,"Dependency management,Continuous integration","Dependency management,Utilities"
StephaneBour/actions-php-cpd,"Code review,Code quality","Continuous integration,Code quality"
seanmiddleditch/gha-setup-ninja,"Continuous integration,Utilities","Continuous integration,Utilities"
DoozyX/clang-format-lint-action,"Code review,Code quality","Code quality,Code review"
kha7iq/pingme-action,"Reporting,Chat","Chat,Community"
debianmaster/actions-k3s,"Testing,Continuous integration","Continuous integration,Testing"
andreaswilli/delete-release-assets-action,"Continuous integration,Deployment","Publishing,Deployment"
stefanzweifel/git-auto-commit-action,Utilities,"Continuous integration,Utilities"
DerJuulsn/todo-issue,"Project management,Utilities","Open Source management,Project management"
vmactions/freebsd-vm,"Testing,Continuous integration","Continuous integration,Testing"
biohuns/rpmbuild-centos8-action,"Deployment,Utilities","Code quality,Code review"
sand4rt/ftp-deployer,"Publishing,Deployment","Deployment,Publishing"
peter-evans/link-checker,"Project management,Utilities","Open Source management,Utilities"
lemonarc/jekyll-action,"Continuous integration,Deployment","Deployment,Publishing"
hbfernandes/slack-action,"Chat,API management","Chat,Continuous integration"
n1hility/cancel-previous-runs,Continuous integration,"Continuous integration,Testing"
varunsridharan/action-apigen,"Code search,Utilities","Deployment,Publishing"
tiangolo/issue-manager,"Community,Open Source management","Utilities,Open Source management"
tj-actions/changed-files,"Code review,Continuous integration","Code search,Code review"
samuelmeuli/action-maven-publish,"Publishing,Deployment","Continuous integration,Deployment"
firebelley/godot-export,"Publishing,Utilities","Continuous integration,Utilities"
ros-tooling/action-ros-ci,"Container CI,Utilities","Continuous integration,Utilities"
miermontoto/waka-readme-stats,"Utilities,Time tracking","Code review,Utilities"
check-spelling/check-spelling,"Code review,Code quality","Code review,Testing"
RobertMrowiec/URLs-checker,"Project management,Code search","Deployment,AI Assisted"
derekprior/add-autoresponse,"Project management,Open Source management","Utilities,Open Source management"
pxgamer/composer-action,Dependency management,"Dependency management,Chat"
actionshub/kitchen-dokken,"Continuous integration,Container CI","Continuous integration,Code quality"
EndBug/add-and-commit,"Project management,Utilities","Utilities,Code review"
thenabeel/action-phpcs,"Code review,Code quality","Code quality,Code review"
jwalton/gh-find-current-pr,Utilities,"Utilities,Code review"
pascalgn/automerge-action,"Code review,Continuous integration","Utilities,Project management"
gleich/gh_fsync,"Project management,Utilities","Utilities,Deployment"
jetli/trunk-action,"Continuous integration,Deployment","Deployment,Continuous integration"
geekyeggo/delete-artifact,Continuous integration,"Utilities,Continuous integration"
cachix/install-nix-action,"Dependency management,Continuous integration","Continuous integration,Dependency management"
miloserdow/capistrano-deploy,"Continuous integration,Deployment","Deployment,Continuous integration"
GabrielBB/xvfb-action,"Testing,Desktop tools","Testing,Dependency management"
mathieu-bour/setup-sentry-cli,"Reporting,Publishing","Continuous integration,Deployment"
nolar/setup-k3d-k3s,"Continuous integration,Container CI","Continuous integration,Container CI"
whoan/docker-build-with-cache-action,"Publishing,Container CI","Container CI,Publishing"
charmixer/auto-changelog-action,"Continuous integration,Deployment","Code quality,Continuous integration"
chrnorm/deployment-status,"Continuous integration,Deployment","Deployment,Dependency management"
battila7/get-version-action,"Continuous integration,Utilities","Utilities,Publishing"
zyborg/gh-action-buildnum,"Continuous integration,Utilities","Continuous integration,Publishing"
extractions/setup-just,"Dependency management,Utilities","Continuous integration,Utilities"
mnao305/chrome-extension-upload,"Publishing,Deployment","Deployment,Publishing"
pipeline-components/php-codesniffer,"Code review,Code quality","Continuous integration,Utilities"
fjeremic/cron-labeler,"Open Source management,Utilities","Utilities,Project management"
Yikun/hub-mirror-action,"Open Source management,Utilities","Deployment,Utilities"
olafurpg/setup-gpg,"Continuous integration,Utilities","Continuous integration,Deployment"
at-wat/setup-gh-pr-comment,"Continuous integration,Utilities","Code review,Utilities"
JoshuaTheMiller/conditional-build-matrix,"Continuous integration,Container CI","Utilities,Testing"
coditory/changelog-parser,"Project management,Continuous integration","Publishing,Utilities"
XAMPPRocky/deploy-mdbook,"Publishing,Deployment","Deployment,Publishing"
sudo-bot/action-shellcheck,"Code review,Code quality","Code quality,Container CI"
mikehardy/buildcache-action,"Continuous integration,Utilities","Continuous integration,Code review"
Crec0/announce-n-crosspost,"Community,Utilities","Chat,Reporting"
maxim-lobanov/setup-xamarin,Utilities,"Desktop tools,IDEs"
addnab/docker-run-action,"Continuous integration,Container CI","Continuous integration,Container CI"
chromaui/action,"Code review,Code quality","Utilities,Deployment"
tclindner/sentry-releases-action,"Continuous integration,Deployment","Publishing,Utilities"
apache/skywalking-infra-e2e,"Testing,Container CI","Chat,Continuous integration"
lukka/run-cmake,"Dependency management,Continuous integration","Dependency management,Code quality"
php-actions/composer,"Dependency management,Utilities","Continuous integration,Dependency management"
papeloto/action-zip,"Publishing,Utilities","Deployment,Utilities"
matt-ball/newman-action,"Testing,API management","Continuous integration,Testing"
octokit/request-action,Utilities,"Utilities,API management"
little-core-labs/install-terraform,"Dependency management,Deployment","Continuous integration,Utilities"
snow-actions/tweet,"Chat,Continuous integration","Continuous integration,Chat"
estroz/rerun-actions,"Continuous integration,Utilities","Code review,Utilities"
getsentry/action-eslint-fix,Code quality,"Code quality,Code review"
AButler/upload-release-assets,Publishing,"Publishing,Deployment"
fjogeleit/http-request-action,"Deployment,Utilities","Utilities,API management"
benc-uk/workflow-dispatch,"Continuous integration,Deployment","Open Source management,Utilities"
jacobtomlinson/gha-find-replace,"Continuous integration,Utilities","Open Source management,Utilities"
actions/upload-artifact,Utilities,"Continuous integration,Utilities"
thehanimo/pr-title-checker,"Open Source management,Utilities","Code review,Project management"
andymckay/cancel-action,Utilities,"Continuous integration,Testing"
nikeee/docfx-action,"Publishing,Deployment","Continuous integration,Testing"
actions-hub/docker,"Continuous integration,Utilities","Continuous integration,Container CI"
pCYSl5EDgo/create-unitypackage,"Continuous integration,Utilities","Continuous integration,Deployment"
ammaraskar/gcc-problem-matcher,"Reporting,Code quality","Code review,Code quality"
codacy/codacy-coverage-reporter-action,"Reporting,Code quality","Testing,Code quality"
mikefarah/yq,"Deployment,Utilities","Continuous integration,Dependency management"
voxmedia/github-action-slack-notify-build,Chat,"Chat,Reporting"
jasongitmail/fast-webhook,"Deployment,Utilities","Chat,Reporting"
game-ci/unity-request-activation-file,"Community,Continuous integration","Community,Continuous integration"
wagoid/commitlint-github-action,"Code review,Code quality","Continuous integration,Publishing"
overtrue/phplint,"Code review,Deployment","Utilities,Deployment"
jetli/wasm-pack-action,"Continuous integration,Deployment","Continuous integration,Deployment"
perl-actions/install-with-cpanm,"Continuous integration,Utilities","Continuous integration,Utilities"
gautamkrishnar/blog-post-workflow,"Publishing,Utilities","Chat,Utilities"
EndBug/label-sync,"Open Source management,Utilities","Utilities,Open Source management"
calibreapp/image-actions,Utilities,"Deployment,Utilities"
actions/github-script,Utilities,"Utilities,Testing"
mymindstorm/setup-emsdk,"Dependency management,Continuous integration","Continuous integration,Dependency management"
damccorm/tag-ur-it,"Project management,Open Source management","Continuous integration,Project management"
