project,actual,predicted
textileio/cloudflare-update-dnslink,"Continuous integration,Deployment",Publishing
AthleticNet/comment-test-coverage,"Testing,Code quality",Testing
WtfJoke/setup-tectonic,"Publishing,Continuous integration",Continuous integration
AlexxNB/chalogen,"Code quality,Open Source management",Publishing
hecrj/setup-rust-action,Continuous integration,Code quality
fkirc/skip-duplicate-actions,"Testing,Continuous integration",Utilities
styfle/cancel-workflow-action,"Testing,Continuous integration",Utilities
warrenbuckley/Setup-Nuget,"Continuous integration,Utilities",Utilities
actions-automation/pull-request-responsibility,"Code review,Project management",Utilities
nuuday/github-changelog-action,"Publishing,Continuous integration",Publishing
sibiraj-s/action-eslint,"Code quality,Continuous integration",Code quality
mstksg/setup-stack,"Dependency management,Deployment",Continuous integration
daneden/enable-automerge-action,"Dependency management,Utilities",Project management
wow-actions/needs-more-info,"Support,Utilities",Utilities
peaceiris/actions-gh-pages,"Publishing,Deployment",Publishing
helaili/jekyll-action,Deployment,Deployment
actions-cool/emoji-helper,"Open Source management,Utilities",Deployment
sersoft-gmbh/xcodebuild-action,"Testing,Continuous integration",Continuous integration
mikepenz/gradle-dependency-submission,"Dependency management,Security",Utilities
suo/flake8-github-action,"Code quality,Continuous integration",Code quality
andymckay/pycodestyle-action,Code review,Code quality
tj-actions/changed-files,"Code review,Continuous integration",Code search
shogo82148/actions-goveralls,"Testing,Code quality",Code quality
BobAnkh/auto-generate-changelog,"Continuous integration,Utilities",Publishing
DanielTamkin/HasLabel,"Open Source management,Utilities",Utilities
mislav/bump-homebrew-formula-action,"Publishing,Open Source management",Publishing
samuelmeuli/action-maven-publish,"Publishing,Deployment",Continuous integration
kiegroup/github-action-build-chain,"Continuous integration,Utilities",Continuous integration
baptiste0928/cargo-install,"Continuous integration,Utilities",Dependency management
fjogeleit/yaml-update-action,"Continuous integration,Utilities",Utilities
wow-actions/use-app-token,"Security,Utilities",Utilities
zyborg/gh-action-buildnum,"Continuous integration,Utilities",Continuous integration
textbook/git-checkout-submodule-action,Continuous integration,Security
HighwayThree/jira-extract-issue-keys,"Continuous integration,Utilities",Utilities
matt-ball/newman-action,"Testing,API management",Continuous integration
burnett01/rsync-deployments,"Deployment,Utilities",Deployment
lovasoa/setup-emscripten,"Testing,Continuous integration",Continuous integration
oplik0/openPGP-action,"Security,Utilities",Deployment
carlosperate/download-file-action,"Dependency management,Utilities",Continuous integration
RalfG/python-wheels-manylinux-build,"Publishing,Deployment",Deployment
MSP-Greg/setup-ruby-pkgs,Testing,Continuous integration
johanholmerin/mutation-report-action,"Testing,Continuous integration",Testing
keithalpichi/slack-action,"Reporting,Chat",Chat
ouuan/pkgbuild-action,"Testing,Deployment",Continuous integration
crazy-max/ghaction-chocolatey,"Deployment,Utilities",Container CI
GuillaumeFalourd/diff-action,"Testing,Utilities",Utilities
n1hility/cancel-previous-runs,Continuous integration,Continuous integration
appleboy/ssh-action,"Continuous integration,Deployment",Deployment
ad-m/report-link-action,"Monitoring,Code quality",Continuous integration
mathieu-bour/setup-sentry-cli,"Reporting,Publishing",Deployment
niden/actions-memcached,Container CI,Continuous integration
frankdejonge/use-github-token,"Continuous integration,Deployment",Deployment
ItsKarma/aws-cli,"Deployment,Utilities",Utilities
jurplel/install-qt-action,"Dependency management,Continuous integration",Continuous integration
nick-fields/assert-action,"Testing,Utilities",Continuous integration
shalzz/zola-deploy-action,"Publishing,Deployment",Deployment
ldeluigi/markdown-docs,"Continuous integration,Utilities",Publishing
softprops/action-gh-release,"Publishing,Continuous integration",Publishing
isthatcentered/dist-to-ftp,"Continuous integration,Deployment",Continuous integration
actions/setup-node,Utilities,Utilities
ahmadnassri/action-dependabot-auto-merge,"Dependency management,Continuous integration",Utilities
dawidd6/action-get-tag,"Publishing,Utilities",Publishing
s3krit/Matrix-Message,"Reporting,Chat",Chat
imciner2/run-lcov,"Code quality,Continuous integration",Code quality
Harmon758/postgresql-action,"Continuous integration,Container CI",Continuous integration
perl-actions/install-with-cpanm,"Continuous integration,Utilities",Continuous integration
ibiqlik/action-yamllint,"Testing,Code quality",Code quality
web3-storage/add-to-web3,"Deployment,Backup Utilities",Deployment
nanasess/setup-php,Continuous integration,Continuous integration
TreTuna/sync-branches,"Continuous integration,Deployment",Utilities
mstksg/get-package,"Dependency management,Deployment",Container CI
aktions/codeclimate-test-reporter,Code quality,Code quality
actions-cool/verify-files-modify,"Utilities,AI Assisted",Open Source management
dessant/issue-states,"Project management,Utilities",Project management
AnandChowdhary/release-scheduler,"Dependency management,Continuous integration",Utilities
warrenbuckley/Setup-MSBuild,"Continuous integration,Utilities",Utilities
Klemensas/action-autotag,"Publishing,Deployment",Publishing
SAP/project-piper-action,"Continuous integration,Deployment",Continuous integration
oke-py/npm-audit-action,"Dependency management,Security",Security
skx/github-action-build,"Continuous integration,Deployment",Publishing
mikefarah/yq,"Deployment,Utilities",Container CI
canonical/has-signed-canonical-cla,"Community,Utilities",Continuous integration
