project,actual,predicted
gautamkrishnar/blog-post-workflow,"Publishing,Utilities",Deployment
AndrewMusgrave/automatic-pull-request-review,"Code review,Open Source management",Utilities
andymckay/pycodestyle-action,Code review,Continuous integration
DerJuulsn/todo-issue,"Project management,Utilities",Open Source management
actions/setup-elixir,Continuous integration,Continuous integration
ilammy/setup-nasm,"Continuous integration,Utilities",Continuous integration
vmactions/solaris-vm,"Continuous integration,Utilities",Testing
Numericas/matrix-action,"Reporting,Project management",Continuous integration
shalzz/zola-deploy-action,"Publishing,Deployment",Deployment
rbialon/flake8-annotations,"Code review,Code quality",Code quality
depot/setup-action,"Continuous integration,Container CI",Continuous integration
mtanzi/action-automerge,"Continuous integration,Deployment",Chat
julia-actions/julia-runtest,"Testing,Continuous integration",Continuous integration
TrueBrain/actions-flake8,"Code review,Code quality",Code quality
web3-storage/add-to-web3,"Deployment,Backup Utilities",Deployment
step-security/harden-runner,"Security,Monitoring",Security
DamianReeves/write-file-action,"Utilities,Desktop tools",Utilities
mikefarah/yq,"Deployment,Utilities",Container CI
actions/setup-python,Utilities,Utilities
lgeiger/black-action,"Code quality,Continuous integration",Code quality
loopwerk/tag-changelog,"Publishing,Deployment",Publishing
hashicorp/setup-terraform,"Deployment,Utilities",Continuous integration
pluralsh/setup-plural,"Open Source management,Deployment",Utilities
Justintime50/homebrew-releaser,"Dependency management,Publishing",Publishing
bruceadams/get-release,Publishing,Publishing
xinthink/action-telegram,"Chat,Utilities",Utilities
little-core-labs/install-terraform,"Dependency management,Deployment",Continuous integration
dropseed/changerelease,"Publishing,Project management",Continuous integration
saadmk11/changelog-ci,"Project management,Continuous integration",Utilities
korelstar/phplint-problem-matcher,"Reporting,Code review",Code review
snok/container-retention-policy,"Continuous integration,Container CI",Utilities
reviewdog/action-hadolint,"Code review,Code quality",Code quality
mamba-org/provision-with-micromamba,"Dependency management,Continuous integration",Dependency management
mattnotmitt/doxygen-action,"Continuous integration,Utilities",Testing
technote-space/package-version-check-action,"Support,Utilities",Utilities
actions-cool/issues-helper,"Utilities,AI Assisted",Utilities
jpetrucciani/black-check,"Code quality,Continuous integration",Code quality
docker/login-action,"Container CI,Utilities",Deployment
clupprich/ruby-build-action,Continuous integration,Testing
icepuma/rust-action,"Continuous integration,Container CI",Continuous integration
filipstefansson/uuid-action,"Deployment,Utilities",Publishing
trilom/file-changes-action,"Code review,Utilities",Code quality
keithweaver/aws-s3-github-action,"Continuous integration,Deployment",Deployment
makaroni4/prcop,"Code review,Learning",Code review
musichin/ktlint-check,"Code review,Code quality",Project management
liri-infra/qmllint-action,"Code quality,Continuous integration",Continuous integration
two-pack/redmine-plugin-test-action,"Testing,Continuous integration",Continuous integration
eregon/publish-release,"Publishing,Deployment",Publishing
andrewmcodes/standardrb-action,"Code review,Code quality",Code quality
SamKirkland/FTP-Deploy-Action,"Continuous integration,Deployment",Deployment
andymckay/cancel-action,Utilities,Continuous integration
getong/mariadb-action,"Continuous integration,Container CI",Continuous integration
paulfantom/periodic-labeler,"Project management,Open Source management",Project management
darenm/Setup-VSTest,"Testing,Utilities",Continuous integration
oprypin/find-latest-tag,"Dependency management,Continuous integration",Utilities
enriikke/gatsby-gh-pages-action,"Publishing,Continuous integration",Deployment
humbletim/install-vulkan-sdk,"Dependency management,Utilities",Utilities
stefanbuck/github-issue-parser,"Open Source management,Utilities",Project management
ros-tooling/action-ros-ci,"Container CI,Utilities",Continuous integration
rinx/setup-k3d,"Continuous integration,Container CI",Container CI
alexellis/upload-assets,"Continuous integration,Deployment",Publishing
technote-space/auto-card-labeler,"Project management,Utilities",Utilities
marvinpinto/action-automatic-releases,"Publishing,Deployment",Publishing
shogo82148/actions-setup-redis,"Testing,Utilities",Testing
nick-fields/private-action-loader,"Continuous integration,Utilities",Utilities
Bullrich/generate-release-changelog,"Publishing,Utilities",Publishing
pr-annotators/mypy-pr-annotator,"Code review,Code quality",Code quality
jwalton/gh-find-current-pr,Utilities,Utilities
Ilshidur/action-discord,"Chat,Desktop tools",Chat
seanmiddleditch/gha-setup-vsdevenv,"Continuous integration,Utilities",Continuous integration
shogo82148/actions-setup-perl,"Continuous integration,Utilities",Continuous integration
warrenbuckley/Setup-MSBuild,"Continuous integration,Utilities",Continuous integration
gabrielfalcao/pyenv-action,"Dependency management,Continuous integration",Continuous integration
xt0rted/slash-command-action,"Chat,Continuous integration",Open Source management
pypa/gh-action-pip-audit,"Dependency management,Security",Continuous integration
jwlawson/actions-setup-cmake,"Dependency management,Continuous integration",Continuous integration
ZedThree/clang-tidy-review,"Code review,Code quality",Code review
remorses/pypi,"Publishing,Deployment",Deployment
avsm/setup-ocaml,"Continuous integration,Utilities",Continuous integration
sqren/backport-github-action,"Deployment,Utilities",Utilities
AthleticNet/comment-test-coverage,"Testing,Code quality",Testing
hugo19941994/delete-draft-releases,"Publishing,Utilities",Utilities
sonots/slack-notice-action,Chat,Chat
VeryGoodOpenSource/very_good_coverage,"Testing,Code quality",Code quality
whelk-io/maven-settings-xml-action,"Dependency management,Open Source management",Continuous integration
10up/action-wordpress-plugin-deploy,"Publishing,Deployment",Deployment
ravsamhq/notify-slack-action,"Reporting,Chat",Chat
timfallmk/github-changelog-generator-action,"Publishing,Continuous integration",Publishing
ad-m/github-push-action,"Deployment,Utilities",Publishing
Gottox/irc-message-action,"Chat,Continuous integration",Chat
crondaemon/close-pr,"Code review,Utilities",Project management
dschep/install-pipenv-action,"Dependency management,Continuous integration",Continuous integration
whoan/docker-build-with-cache-action,"Publishing,Container CI",Container CI
AnandChowdhary/release-scheduler,"Dependency management,Continuous integration",Continuous integration
arma-actions/bom-check,"Code quality,Utilities",Code quality
Eun/http-server-action,"Testing,Utilities",Deployment
GetStream/verify-semantic-changelog-update,"Code review,Continuous integration",Code review
s4u/setup-maven-action,"Continuous integration,Utilities",Continuous integration
tlylt/install-graphviz,"Continuous integration,Utilities",Dependency management
turtlebrowser/get-conan,"Dependency management,Continuous integration",Utilities
eine/setup-msys2,"Continuous integration,Utilities",Continuous integration
frankdejonge/use-github-token,"Continuous integration,Deployment",Deployment
reviewdog/action-eslint,"Code review,Code quality",Code quality
allenevans/set-env,Utilities,Continuous integration
avinal/github-pages-deploy-action,"Publishing,Project management",Publishing
cachix/install-nix-action,"Dependency management,Continuous integration",Continuous integration
reviewdog/action-misspell,"Code review,Code quality",Code quality
dessant/label-actions,"Project management,Utilities",Project management
actions/upload-artifact,Utilities,Continuous integration
tibdex/autosquash,"Continuous integration,Utilities",Code review
StephaneBour/actions-php-cpd,"Code review,Code quality",Code quality
ffurrer2/extract-release-notes,"Publishing,Utilities",Publishing
franzbischoff/replace_envs,"Deployment,Utilities",Continuous integration
andstor/jsdoc-action,"API management,Utilities",Deployment
