project,actual,predicted
conda-incubator/setup-miniconda,"Dependency management,Utilities","Dependency management,Utilities"
appleboy/gh-pages-action,"Publishing,Deployment","Deployment,Publishing"
robotology/gh-action-nightly-merge,"Continuous integration,Utilities","Continuous integration,Utilities"
cardinalby/git-get-release-action,"Publishing,Utilities","Continuous integration,Deployment"
pypa/gh-action-pip-audit,"Dependency management,Security","Monitoring,Continuous integration"
Roang-zero1/github-create-release-action,"Publishing,Continuous integration","Publishing,Deployment"
tinovyatkin/action-php-codesniffer,"Code review,Code quality","Code quality,Code review"
extractions/setup-just,"Dependency management,Utilities","Continuous integration,Deployment"
actions-hub/docker,"Continuous integration,Utilities","Container CI,Continuous integration"
dawidd6/action-download-artifact,"Continuous integration,Deployment","Utilities,Continuous integration"
hkusu/apk-info-action,"Reporting,Mobile CI","Utilities,Continuous integration"
ewels/rich-codex,"Continuous integration,Utilities","Continuous integration,Code quality"
gradle/wrapper-validation-action,Security,"Utilities,Continuous integration"
clupprich/ruby-build-action,Continuous integration,"Testing,Continuous integration"
shivammathur/setup-php,"Continuous integration,Utilities","Code quality,Code review"
pdm-project/setup-pdm,"Dependency management,Utilities","Continuous integration,Dependency management"
technote-space/auto-cancel-redundant-job,Utilities,"Utilities,Project management"
piotrpawlaczek/python-blacken,"Code quality,Continuous integration","Code quality,Publishing"
deep5050/cppcheck-action,"Code review,Code quality","Publishing,Deployment"
webispy/checkpatch-action,"Code review,Code quality","Code review,Utilities"
mislav/bump-homebrew-formula-action,"Publishing,Open Source management","Publishing,Dependency management"
mikehardy/buildcache-action,"Continuous integration,Utilities","Code quality,Code review"
ludeeus/action-shellcheck,"Code quality,Continuous integration","Code quality,Code review"
HighwayThree/jira-extract-issue-keys,"Continuous integration,Utilities","Code review,Code quality"
n1hility/cancel-previous-runs,Continuous integration,"Continuous integration,Utilities"
andrewmcodes-archive/rubocop-linter-action,"Code review,Code quality","Code quality,Code review"
actions-cool/pr-auto-label,"Dependency management,Open Source management","Utilities,Project management"
geekyeggo/delete-artifact,Continuous integration,"Utilities,Deployment"
reitermarkus/rerun-workflow,"Code review,Continuous integration","Project management,Utilities"
DoozyX/clang-format-lint-action,"Code review,Code quality","Code quality,Code review"
nerdyscout/kicad-exports,"Publishing,Utilities","Code quality,Continuous integration"
php-actions/phpunit,"Testing,Continuous integration","Dependency management,Testing"
messense/maturin-action,"Deployment,Utilities","Continuous integration,Container CI"
JamesIves/github-pages-deploy-action,"Publishing,Deployment","Deployment,Publishing"
pypa/gh-action-pypi-publish,"Publishing,Deployment","Publishing,Deployment"
Warchant/setup-mold,"Continuous integration,Utilities","Continuous integration,Publishing"
bruceadams/get-release,Publishing,"Publishing,Deployment"
isthatcentered/dist-to-ftp,"Continuous integration,Deployment","Deployment,Publishing"
RichiCoder1/vault-action,"Security,Continuous integration","Deployment,Utilities"
uraimo/run-on-arch-action,"Continuous integration,Container CI","Continuous integration,Utilities"
olafurpg/setup-scala,"Continuous integration,Utilities","Continuous integration,Utilities"
Akryum/release-tag,"Publishing,Continuous integration","Publishing,Utilities"
terraform-linters/setup-tflint,"Code quality,Utilities","Continuous integration,Code quality"
octokit/request-action,Utilities,"Utilities,Deployment"
guite/zikula-action,"Testing,Continuous integration","Continuous integration,IDEs"
dessant/repo-lockdown,"Project management,Open Source management","Project management,Open Source management"
chrnorm/deployment-action,"Continuous integration,Deployment","Deployment,Dependency management"
dorny/test-reporter,"Testing,Reporting","Testing,Reporting"
jstastny/publish-gem-to-github,"Publishing,Deployment","Publishing,Deployment"
m1ner79/Github-Twittction,"Chat,Publishing","Code search,Code Scanning Ready"
calibreapp/image-actions,Utilities,"Utilities,Project management"
up9cloud/action-rsync,"Publishing,Deployment","Deployment,Continuous integration"
korelstar/xmllint-problem-matcher,"Reporting,Code review","Reporting,Code review"
apple-actions/import-codesign-certs,"Mobile CI,Mobile","Deployment,Security"
cardinalby/google-api-fetch-token-action,"Security,API management","Utilities,Publishing"
appleboy/ssh-action,"Continuous integration,Deployment","Deployment,Continuous integration"
fastify/github-action-merge-dependabot,"Dependency management,Open Source management","Code review,Continuous integration"
mikefarah/yq,"Deployment,Utilities","Continuous integration,Code quality"
antifree/json-to-variables,"Deployment,Utilities","Utilities,Testing"
Klemensas/action-autotag,"Publishing,Deployment","Publishing,Utilities"
xt0rted/dotnet-format,"Code quality,Continuous integration","Utilities,Continuous integration"
ShiftLeftSecurity/scan-action,"Security,Open Source management","Time tracking,Code Scanning Ready"
limitusus/json-syntax-check,"Testing,Code review","Code quality,Continuous integration"
nanasess/setup-php,Continuous integration,"Code quality,Code review"
adamkdean/simple-slack-notify,"Reporting,Chat","Chat,Reporting"
niden/actions-memcached,Container CI,"Deployment,Container CI"
srvaroa/labeler,"Code review,Project management","Utilities,Project management"
eskatos/gradle-command-action,"Continuous integration,Utilities","Utilities,Continuous integration"
ammaraskar/sphinx-problem-matcher,"Code quality,Publishing","Reporting,Code review"
proudust/gh-describe,"Publishing,Utilities","Code quality,Utilities"
DanielTamkin/HasLabel,"Open Source management,Utilities","Project management,Utilities"
joerick/pr-labels-action,"Continuous integration,Utilities","Utilities,Code review"
redhat-actions/podman-login,"Container CI,Utilities","Container CI,Deployment"
stCarolas/setup-maven,Continuous integration,"Continuous integration,Utilities"
karancode/yamllint-github-action,"Code quality,Continuous integration","Continuous integration,Utilities"
ihiroky/archive-action,"Continuous integration,Utilities","Publishing,Utilities"
reitermarkus/automerge,"Code review,Project management","Code review,Project management"
camptocamp/backport-action,"Continuous integration,Utilities","Deployment,Utilities"
ecampidoglio/auto-release-draft,"Publishing,Deployment","Code Scanning Ready,Code review"
JamesSingleton/is-organization-member,"Community,Utilities","Open Source management,Project management"
dessant/label-actions,"Project management,Utilities","Project management,Utilities"
technote-space/toc-generator,"Publishing,Utilities","Utilities,Project management"
andstor/file-existence-action,"Testing,Utilities","Utilities,Code quality"
ok-nick/setup-aftman,"Continuous integration,Utilities","Utilities,Continuous integration"
lucasvanmol/status-badges,"Community,Utilities","Utilities,Monitoring"
shivammathur/cache-extensions,"Continuous integration,Utilities","Code quality,Code review"
oke-py/npm-audit-action,"Dependency management,Security","Security,Monitoring"
chhpt/wechat-work-messenger,"Continuous integration,Utilities","Chat,Reporting"
actions-cool/emoji-helper,"Open Source management,Utilities","AI Assisted,Utilities"
satackey/action-docker-layer-caching,"Container CI,Utilities","Continuous integration,Dependency management"
warrenbuckley/Setup-Nuget,"Continuous integration,Utilities","Utilities,Dependency management"
actions/go-dependency-submission,"Dependency management,Security","Code quality,Utilities"
tianhaoz95/mirror-action,"Code review,Code quality","Utilities,Community"
wasmerio/setup-wasmer,"Dependency management,Publishing","Publishing,Deployment"
jaroldwong/ecr-push-and-ecs-deploy,Deployment,"Deployment,Continuous integration"
zcong1993/setup-timezone,Utilities,"Continuous integration,Utilities"
wow-actions/use-app-token,"Security,Utilities","Utilities,Deployment"
peterjgrainger/action-create-branch,Utilities,"Utilities,Continuous integration"
nick-zh/composer,"Dependency management,Continuous integration","Dependency management,Utilities"
peter-evans/autopep8,"Code quality,Utilities","Utilities,Open Source management"
saadmk11/github-actions-version-updater,"Dependency management,Project management","Utilities,Continuous integration"
bodinsamuel/renovate-automatic-branch,"Dependency management,Container CI","Publishing,Container CI"
mikeal/merge-release,"Publishing,Open Source management","Deployment,Continuous integration"
jam1garner/contributors-only,"Support,Open Source management","Open Source management,Utilities"
nuuday/github-changelog-action,"Publishing,Continuous integration","Deployment,Publishing"
ergebnis/composer-normalize-action,"Code quality,Continuous integration","Dependency management,Continuous integration"
vmactions/freebsd-vm,"Testing,Continuous integration","Testing,Continuous integration"
