project,actual,predicted
cadwallion/publish-rubygems-action,"Publishing,Open Source management",Publishing
jmhodges/ensure-latest-go,"Dependency management,Code quality",Utilities
ahmadnassri/action-dependabot-auto-merge,"Dependency management,Continuous integration",Utilities
vsoch/pull-request-action,"Publishing,Deployment",Utilities
Harmon758/postgresql-action,"Continuous integration,Container CI",Continuous integration
redhat-plumbers-in-action/advanced-issue-labeler,"Reporting,Project management",Deployment
arma-actions/workshop-upload,"Publishing,Utilities",Publishing
joerick/pr-labels-action,"Continuous integration,Utilities",Code review
clupprich/ruby-build-action,Continuous integration,Testing
theleagueof/fontship,"Publishing,Continuous integration",Publishing
ilammy/setup-nasm,"Continuous integration,Utilities",Continuous integration
ad-m/report-link-action,"Monitoring,Code quality",Code quality
goreleaser/goreleaser-action,"Continuous integration,Utilities",Deployment
MilesChou/composer-action,"Dependency management,Container CI",Continuous integration
jsdaniell/create-json,"Continuous integration,Utilities",Deployment
fuxingloh/multi-labeler,"Project management,Utilities",Project management
Difegue/action-megacmd,"Publishing,Deployment",Deployment
perl-actions/install-with-cpanm,"Continuous integration,Utilities",Continuous integration
ilammy/msvc-dev-cmd,"Continuous integration,Utilities",Continuous integration
r7kamura/redocly-problem-matchers,"Code review,Continuous integration",Continuous integration
arma-actions/sqflint,Code quality,Code quality
snickerbockers/submodules-init,"Dependency management,Utilities",Continuous integration
avinal/github-pages-deploy-action,"Publishing,Project management",Deployment
CamiloGarciaLaRotta/watermelon-http-client,"API management,Utilities",Utilities
wemake-services/wemake-python-styleguide,"Code review,Code quality",Code quality
vmactions/openbsd-vm,"Testing,Continuous integration",Testing
WyriHaximus/github-action-get-previous-tag,Continuous integration,Utilities
calibreapp/image-actions,Utilities,Continuous integration
m1ner79/Github-Twittction,"Chat,Publishing",Security
yuezk/publish-obs-package,"Publishing,Deployment",Publishing
technote-space/release-github-actions,"Publishing,Utilities",Deployment
convictional/trigger-workflow-and-wait,"Code quality,Continuous integration",Continuous integration
Niraj-Kamdar/manylinux-wheel-builder,"Publishing,Deployment",Continuous integration
danielpalme/ReportGenerator-GitHub-Action,"Testing,Code quality",Code quality
streetsidesoftware/cspell-action,"Code quality,Utilities",Utilities
miloserdow/capistrano-deploy,"Continuous integration,Deployment",Deployment
AckeeCZ/load-xcode-version,"IDEs,Desktop tools",Continuous integration
dineshsonachalam/markdown-autodocs,"Continuous integration,Deployment",Utilities
imranismail/setup-kustomize,"Deployment,Container CI",Continuous integration
chhpt/wechat-work-messenger,"Continuous integration,Utilities",Chat
