project,actual,predicted
browser-actions/setup-firefox,"Testing,Continuous integration","Continuous integration,Testing"
percy/exec-action,"Testing,Continuous integration","Continuous integration,Testing"
GaboFDC/brakeman-linter-action,"Code review,Code quality","Code quality,Continuous integration"
narcodico/base64-to-path,"Continuous integration,Utilities","Continuous integration,Deployment"
vsoch/pull-request-action,"Publishing,Deployment","Project management,Utilities"
GuoJuna/sync-repo-action,"Deployment,Container CI","Utilities,Open Source management"
franzbischoff/replace_envs,"Deployment,Utilities","Utilities,Code quality"
johanholmerin/mutation-report-action,"Testing,Continuous integration","Testing,Code quality"
Resnovas/label-mastermind,"Project management,Utilities","Project management,Utilities"
github/super-linter,"Code review,Code quality","Code quality,Reporting"
perl-actions/install-with-cpanm,"Continuous integration,Utilities","Continuous integration,Utilities"
AnandChowdhary/release-scheduler,"Dependency management,Continuous integration","Continuous integration,Utilities"
chrnorm/deployment-action,"Continuous integration,Deployment","Deployment,Publishing"
snok/install-poetry,"Dependency management,Publishing","Dependency management,Continuous integration"
mdecoleman/pr-branch-name,"Continuous integration,Utilities","Utilities,Continuous integration"
homoluctus/slatify,Chat,"Chat,Reporting"
ravinderjangra/android-ndk-toolchain-setup,"Mobile,Utilities","Continuous integration,Dependency management"
skaut/wordpress-version-checker,"Dependency management,Utilities","Publishing,Deployment"
fnkr/github-action-git-bash,Utilities,"Continuous integration,Deployment"
mschilde/auto-label-merge-conflicts,"Project management,Utilities","Project management,Continuous integration"
brittonhayes/validate-yaml,"Code review,Code quality","Testing,Continuous integration"
fjeremic/cron-first-interaction,"Open Source management,Utilities","Open Source management,Utilities"
tibdex/backport,"Continuous integration,Utilities","Utilities,Project management"
michaeljolley/aggregit,"Reporting,Monitoring","Continuous integration,Testing"
reviewdog/action-golangci-lint,"Code review,Code quality","Code quality,Continuous integration"
xinthink/action-telegram,"Chat,Utilities","Reporting,Chat"
yuezk/publish-ppa-package,"Publishing,Deployment","Publishing,Deployment"
tiangolo/issue-manager,"Community,Open Source management","Utilities,Open Source management"
fabriciobastian/download-release-asset-action,"Dependency management,Continuous integration","Publishing,Continuous integration"
deep5050/cppcheck-action,"Code review,Code quality","Code review,Utilities"
gr2m/create-or-update-pull-request-action,Utilities,"Utilities,Open Source management"
michaelw90/PHP-Lint,"Code quality,Continuous integration","Code quality,Continuous integration"
rjstone/discord-webhook-notify,"Chat,Monitoring","Chat,Reporting"
gi0baro/setup-poetry-bin,"Dependency management,Publishing","Dependency management,Continuous integration"
sibiraj-s/action-eslint,"Code quality,Continuous integration","Code quality,Code review"
matlab-actions/setup-matlab,"Continuous integration,Utilities","Continuous integration,Testing"
peter-evans/rebase,"Open Source management,Utilities","Utilities,Open Source management"
technote-space/auto-cancel-redundant-job,Utilities,"Utilities,Project management"
jacobtomlinson/gha-find-replace,"Continuous integration,Utilities","Publishing,Code quality"
shogo82148/actions-goveralls,"Testing,Code quality","Testing,Dependency management"
niden/actions-memcached,Container CI,"Continuous integration,Dependency management"
guyarb/golang-test-annotations,"Testing,Container CI","Code quality,Testing"
kurocha/setup-cpp,"Continuous integration,Utilities","Project management,Code review"
pxgamer/composer-action,Dependency management,"Dependency management,Chat"
easingthemes/ssh-deploy,"Continuous integration,Deployment","Deployment,Continuous integration"
aws-actions/amazon-ecs-render-task-definition,"Continuous integration,Deployment","Deployment,Continuous integration"
djn24/add-asset-to-release,"Publishing,Deployment","Publishing,Deployment"
limitusus/json-syntax-check,"Testing,Code review","Code quality,Continuous integration"
chinthakagodawita/autoupdate,"Continuous integration,Utilities","Project management,Code review"
erclu/check-crlf,"Support,Utilities","Code quality,Code review"
cardinalby/git-get-release-action,"Publishing,Utilities","Publishing,Utilities"
tibdex/github-app-token,"Continuous integration,Utilities","Security,Deployment"
Crec0/announce-n-crosspost,"Community,Utilities","Chat,Publishing"
shivammathur/cache-extensions,"Continuous integration,Utilities","Continuous integration,Code quality"
gerbal/always-cache,"Dependency management,Utilities","Continuous integration,Dependency management"
imciner2/run-lcov,"Code quality,Continuous integration","Code quality,Testing"
sobolevn/misspell-fixer-action,"Localization,Utilities","Code quality,Code review"
proudust/gh-describe,"Publishing,Utilities","Utilities,Continuous integration"
mathieu-bour/setup-sentry-cli,"Reporting,Publishing","Deployment,Code quality"
masa-iwasaki/setup-rbenv,"Testing,Continuous integration","Continuous integration,Dependency management"
BetaHuhn/repo-file-sync-action,"Continuous integration,Utilities","Open Source management,Utilities"
Roang-zero1/github-upload-release-artifacts-action,"Publishing,Continuous integration","Publishing,Deployment"
LoliGothick/rustfmt-check,"Code review,Code quality","Deployment,Dependency management"
lauchacarro/Azure-Storage-Action,"Continuous integration,Deployment","Deployment,Testing"
jpetrucciani/mypy-check,"Code quality,Continuous integration","Continuous integration,Code quality"
samuelmeuli/lint-action,"Testing,Code quality","Code quality,Testing"
jetli/wasm-pack-action,"Continuous integration,Deployment","Continuous integration,Deployment"
octodemo/pr-gatekeeper,"Code review,Project management","Code review,Project management"
thomaseizinger/keep-a-changelog-new-release,"Publishing,Continuous integration","Publishing,Continuous integration"
maxgfr/github-commit-push-file,"Continuous integration,Utilities","Utilities,Continuous integration"
Chocobo1/setup-ccache-action,"Continuous integration,Utilities","Continuous integration,Testing"
vmactions/openbsd-vm,"Testing,Continuous integration","Continuous integration,Testing"
benjlevesque/short-sha,"Continuous integration,Utilities","Utilities,Continuous integration"
game-ci/unity-request-activation-file,"Community,Continuous integration","Community,Continuous integration"
reviewdog/action-eslint,"Code review,Code quality","Code quality,Code review"
XAMPPRocky/deploy-mdbook,"Publishing,Deployment","Deployment,Publishing"
andstor/copycat-action,"Deployment,Utilities","Publishing,Deployment"
mvasigh/dispatch-action,"Continuous integration,Utilities","Utilities,Open Source management"
JamesSingleton/is-organization-member,"Community,Utilities","Open Source management,Project management"
OskarStark/phpstan-ga,"Code quality,Continuous integration","Continuous integration,Code quality"
SamKirkland/FTP-Deploy-Action,"Continuous integration,Deployment","Deployment,Publishing"
Logerfo/close-action,"Project management,Utilities","Open Source management,Project management"
tvrcgo/upload-to-oss,"Publishing,Utilities","Utilities,Open Source management"
Dirrk/action-docs,"Project management,Utilities","Utilities,Continuous integration"
mhausenblas/mkdocs-deploy-gh-pages,"Publishing,Deployment","Publishing,Deployment"
timkrase/phpunit-coverage-badge,"Testing,Reporting","Testing,Code quality"
sebastianpopp/ftp-action,"Publishing,Deployment","Deployment,Publishing"
actions/setup-node,Utilities,"Continuous integration,Dependency management"
reviewdog/action-shellcheck,"Code review,Code quality","Code quality,Code review"
andymckay/cancel-action,Utilities,"Continuous integration,Code review"
ammaraskar/sphinx-problem-matcher,"Code quality,Publishing","Code review,Reporting"
johnnyhuy/actions-discord-git-webhook,"Reporting,Chat","Chat,Publishing"
c-hive/gha-remove-artifacts,Utilities,"Continuous integration,Deployment"
jstastny/publish-gem-to-github,"Publishing,Deployment","Continuous integration,Deployment"
everlytic/branch-merge,"Continuous integration,Utilities","Publishing,Utilities"
aws-actions/aws-codebuild-run-project,"Continuous integration,Container CI","Deployment,Continuous integration"
ludeeus/action-shellcheck,"Code quality,Continuous integration","Code quality,Code review"
actions/download-artifact,Utilities,"Continuous integration,Utilities"
subosito/flutter-action,"Continuous integration,Utilities","Continuous integration,Chat"
dawidd6/action-download-artifact,"Continuous integration,Deployment","Continuous integration,Utilities"
webfactory/ssh-agent,"Continuous integration,Utilities","Deployment,Continuous integration"
peter-evans/create-issue-from-file,"Reporting,Utilities","Utilities,Open Source management"
hadolint/hadolint-action,"Code quality,Container CI","Code quality,Container CI"
Sniddl/discord-commits,"Chat,Project management","Chat,Utilities"
BSFishy/meson-build,Continuous integration,"Continuous integration,Code quality"
