project,actual,predicted
tim-actions/commit-body-check,"Code review,Continuous integration","Code review,Utilities"
morphy2k/revive-action,"Code quality,Utilities","Code quality,Code review"
crazy-max/ghaction-docker-buildx,"Continuous integration,Container CI","Container CI,Code Scanning Ready"
rickstaa/top-issues-action,"Community,Project management","Project management,Open Source management"
dawidd6/action-publish-gem,"Publishing,Deployment","Publishing,Deployment"
art049/mongodb-cluster-action,"Testing,Continuous integration","Container CI,Continuous integration"
actions-cool/maintain-one-comment,"Utilities,AI Assisted","Open Source management,Utilities"
lucasvanmol/status-badges,"Community,Utilities","Utilities,Open Source management"
WebFreak001/deploy-nightly,"Publishing,Deployment","Continuous integration,Publishing"
zkqiang/tencent-cos-action,"Deployment,Container CI","Utilities,Open Source management"
RalfG/python-wheels-manylinux-build,"Publishing,Deployment","Deployment,Continuous integration"
shufo/auto-assign-reviewer-by-files,"Code review,Continuous integration","Code review,Utilities"
varunsridharan/action-wp-org-deploy,"Continuous integration,Deployment","Publishing,Deployment"
adapttive/algolia-docsearch-action,"Publishing,Continuous integration","Deployment,Utilities"
andstor/jsdoc-action,"API management,Utilities","Deployment,Publishing"
wasmerio/setup-wasmer,"Dependency management,Publishing","Deployment,Publishing"
eregon/publish-release,"Publishing,Deployment","Publishing,Continuous integration"
actions/labeler,"Open Source management,Utilities","Project management,Open Source management"
s4u/maven-settings-action,"Continuous integration,Utilities","Continuous integration,Dependency management"
gleich/gh_fsync,"Project management,Utilities","Utilities,Deployment"
joerick/pr-labels-action,"Continuous integration,Utilities","Utilities,Project management"
tibdex/backport,"Continuous integration,Utilities","Utilities,Project management"
jwgmeligmeyling/spotbugs-github-action,"Security,Code quality","Continuous integration,Testing"
juankaram/sentry-release,"Code quality,Deployment","Publishing,Deployment"
falti/dotenv-action,"Continuous integration,Utilities","Code quality,Code review"
peter-evans/enable-pull-request-automerge,"Project management,Continuous integration","Utilities,Open Source management"
gi0baro/setup-poetry-bin,"Dependency management,Publishing","Dependency management,Continuous integration"
