project,actual,predicted
guite/zikula-action,"Testing,Continuous integration",Container CI
browser-actions/setup-geckodriver,"Testing,Continuous integration",Publishing
fabriciomurta/ensure-nuget-source,"Dependency management,Utilities",Utilities
kevinpainchaud/simple-ftp-deploy-action,Deployment,Deployment
octokit/request-action,Utilities,Continuous integration
crowdin/github-action,Localization,Utilities
technote-space/auto-card-labeler,"Project management,Utilities",Utilities
lukka/run-cmake,"Dependency management,Continuous integration",Code review
maxim-lobanov/setup-xamarin,Utilities,Continuous integration
rips/github-action-scan,"Security,Continuous integration",Continuous integration
Chocobo1/setup-ccache-action,"Continuous integration,Utilities",Continuous integration
cadwallion/publish-rubygems-action,"Publishing,Open Source management",Publishing
arma-actions/bom-check,"Code quality,Utilities",Continuous integration
Legion2/swagger-ui-action,"API management,Utilities",Deployment
peter-evans/enable-pull-request-automerge,"Project management,Continuous integration",Project management
Numericas/matrix-action,"Reporting,Project management",Chat
rokroskar/workflow-run-cleanup-action,"Testing,Continuous integration",Publishing
actions/setup-elixir,Continuous integration,Continuous integration
paambaati/codeclimate-action,"Code review,Code quality",Code quality
ravinderjangra/android-ndk-toolchain-setup,"Mobile,Utilities",Continuous integration
LoliGothick/rustfmt-check,"Code review,Code quality",Deployment
vedantmgoyal2009/winget-releaser,"Publishing,Deployment",Publishing
jmhodges/ensure-latest-go,"Dependency management,Code quality",Utilities
c-hive/gha-remove-artifacts,Utilities,Continuous integration
peter-evans/repository-dispatch,"Continuous integration,Utilities",Utilities
alex-page/github-project-automation-plus,Project management,Project management
actions/download-artifact,Utilities,Continuous integration
andrewmcodes-archive/rubocop-linter-action,"Code review,Code quality",Code quality
SirYwell/sarif-annotator,"Code review,Code quality",Code quality
Bullrich/generate-release-changelog,"Publishing,Utilities",Publishing
ahmadnassri/action-dependabot-auto-merge,"Dependency management,Continuous integration",Utilities
fnkr/github-action-ghr,"Continuous integration,Deployment",Publishing
thomaseizinger/keep-a-changelog-new-release,"Publishing,Continuous integration",Utilities
fkirc/skip-duplicate-actions,"Testing,Continuous integration",Utilities
varunsridharan/action-wp-org-deploy,"Continuous integration,Deployment",Publishing
imjasonh/setup-ko,"Publishing,Continuous integration",Continuous integration
GuillaumeFalourd/diff-action,"Testing,Utilities",Continuous integration
Gr1N/setup-poetry,"Dependency management,Continuous integration",Dependency management
christian-korneck/update-container-description-action,"Container CI,Utilities",Utilities
chhpt/wechat-work-messenger,"Continuous integration,Utilities",Chat
superbrothers/close-pull-request,Utilities,Utilities
GaboFDC/brakeman-linter-action,"Code review,Code quality",Code quality
tinovyatkin/action-php-codesniffer,"Code review,Code quality",Continuous integration
fudan-mse/latex-action,"Testing,Continuous integration",Continuous integration
yinlinchen/amplify-preview-actions,"Code review,Continuous integration",Deployment
Eun/http-server-action,"Testing,Utilities",Chat
chinthakagodawita/autoupdate,"Continuous integration,Utilities",Continuous integration
virgilio21/openldap-action,"Testing,Utilities",Deployment
SAP/project-piper-action,"Continuous integration,Deployment",Continuous integration
scacap/action-surefire-report,"Testing,Reporting",Testing
crazy-max/ghaction-container-scan,"Container CI,Code Scanning Ready",Container CI
pr-annotators/mypy-pr-annotator,"Code review,Code quality",Continuous integration
golangci/golangci-lint-action,"Code quality,Continuous integration",Code quality
getong/mariadb-action,"Continuous integration,Container CI",Testing
